구분,담보종류,서울,경기,광주,전남,전북,인천,부산,대전,대구,울산,세종,충북,충남,경북,경남,제주,강원
주택,단독,75,65,75,70,65,70,65,75,70,60,65,65,60,60,55,55,65
주택,다가구,75,65,60,75,65,60,55,70,65,55,65,75,55,60,50,60,50
주택,아파트,80,80,80,75,80,75,75,75,75,80,75,80,75,80,75,80,80
주택,다세대주택,80,65,70,65,60,70,75,65,70,70,50,55,60,60,60,65,50
주택,연립주택,80,70,60,60,60,65,60,65,65,60,55,50,55,55,55,65,50
주택,근린주택,80,70,65,50,55,75,65,75,70,60,50,80,60,65,60,70,60
건물,근린상가,60,60,60,50,50,60,60,60,60,60,50,55,50,55,55,60,50
건물,공장(지식산업센터 업무시설),75,75,75,55,65,75,75,50,75,75,70,65,65,65,70,60,60
건물,상가(지식산업센터 지원시설),60,60,60,60,55,60,55,60,60,55,50,60,50,60,60,60,55
건물,아파트상가,60,60,55,50,50,60,60,50,55,50,50,60,50,55,55,60,50
건물,기타건물,75,60,60,70,50,60,50,50,70,50,50,50,65,50,50,55,55
건물,오피스텔,75,65,65,60,50,65,65,65,55,50,50,55,55,55,50,65,55
건물,사무실,65,50,50,50,60,50,60,50,50,75,65,75,70,60,50,75,60
건물,병원,60,60,50,50,50,55,50,50,70,50,50,50,50,60,60,50,50
건물,숙박시설,75,70,50,60,50,60,65,65,60,50,50,50,50,55,50,50,50
토지,나대지,60,65,75,65,65,70,60,65,65,55,55,75,55,65,60,50,65
토지,전,75,70,60,65,60,50,70,50,55,50,50,60,55,55,55,55,55
토지,답,70,65,75,65,65,70,65,70,55,55,55,70,55,55,55,55,60
토지,과수원,50,50,50,50,50,50,50,50,50,50,55,60,60,50,50,55,50
토지,임야,50,55,65,60,60,50,50,50,50,50,55,60,50,55,55,50,55
토지,잡종지,60,60,70,70,60,50,70,50,70,55,50,75,55,70,60,60,50
토지,기타토지,65,65,50,60,65,65,50,75,60,50,65,55,55,60,55,55,60
