구분,담보종류,서울,인천,경기,광역시,대전,세종,전주,군산,익산,시지역,군이하
건물,단독주택,75,65,65,65,70,65,70,65,70,60,70
건물,아파트,80,80,80,75,75,75,75,75,75,75,75
건물,다가구,75,60,65,65,70,70,70,65,65,55,60
건물,다세대,75,65,65,60,65,65,65,60,65,60,55
건물,연립·빌라,75,65,65,65,70,65,70,60,60,65,65
건물,근린주택,75,75,70,65,70,65,65,60,60,60,65
건물,주상복합아파트,80,80,80,75,75,70,70,65,70,70,70
건물,근린상가,60,55,55,55,55,45,50,50,50,50,50
건물,점포상가,60,60,55,55,55,45,55,50,50,50,50
건물,병원,60,60,60,60,60,55,55,55,55,55,55
건물,주유소,65,65,65,65,65,65,65,65,65,65,60
건물,숙박시설,65,50,55,55,55,50,45,45,45,50,45
건물,공장,70,70,70,55,55,55,55,55,55,55,50
건물,지식산업센터,60,55,55,55,50,50,50,50,50,50,50
건물,교회건물,55,50,55,50,50,50,50,50,50,50,50
건물,창고,60,60,60,55,55,50,55,55,55,55,55
건물,사무실,65,60,55,55,55,55,55,55,55,55,55
건물,오피스텔(주거용),70,65,70,60,60,60,60,60,60,60,55
건물,오피스텔(업무용),65,65,60,55,55,50,55,50,50,50,45
건물,목욕탕(사우나),55,50,50,50,45,50,50,50,45,50,45
건물,노유자시설,55,55,55,55,50,50,50,50,50,55,55
건물,기타건물,50,50,50,50,50,50,50,50,50,50,50
토지,나대지,70,65,70,65,70,65,65,70,65,70,70
토지,임야,60,55,55,55,55,60,60,60,65,60,60
토지,잡종지,60,60,60,60,60,60,60,70,65,60,70
토지,전,70,60,65,60,60,60,65,65,60,65,60
토지,답,70,70,65,60,60,55,65,60,65,60,60
토지,과수원,55,60,60,60,60,60,60,60,60,60,60
토지,목장용지,60,60,60,60,60,60,60,60,60,55,60
토지,공장용지,70,70,70,55,55,55,55,55,55,55,50
토지,교회용지,55,50,55,50,50,50,50,50,50,50,50
토지,주차장용지,60,60,60,60,60,60,60,60,60,60,60
토지,염전,50,50,50,50,50,50,50,50,50,50,50
토지,기타토지,50,50,50,50,50,50,50,50,50,50,50
기타,법원경락 및 공매부동산,80,80,80,80,80,80,80,80,80,80,80
