은행명,기준월,지역,구분,용도,현재LTV,시그널,방향,권고LTV,조정폭,3개월갭,3개월평균,6개월평균,12개월평균,36개월평균,60개월평균,3개월건수,6개월건수,12개월건수,36개월건수,60개월건수,판단근거
광주은행,202607,강원,토지,답,60.0,YELLOW,▼,53.7,-6.3,-6.27,53.733333333333334,55.03333333333334,57.317567567567565,57.0,58.01791530944625,18,39,74,221,307,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 5%p 이상 차이, 건수 충족, 하향 추세 확인"
광주은행,202607,강원,주택,단독,65.0,YELLOW,▼,59.2,-5.8,-5.77,59.233333333333334,59.756410256410255,60.005050505050505,62.704296875,64.03367088607595,15,39,99,256,395,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 5%p 이상 차이, 건수 충족, 하향 추세 확인"
광주은행,202607,경기,건물,공장(지식산업센터 업무시설),75.0,YELLOW,▼,64.7,-10.3,-10.34,64.65755395683453,65.74444444444444,66.79610655737704,69.3385135135135,71.90663650075415,139,261,488,1036,1326,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 5%p 이상 차이, 건수 충족, 하향 추세 확인"
광주은행,202607,경기,토지,답,65.0,YELLOW,▼,59.1,-5.9,-5.88,59.11666666666666,60.44,61.27553191489361,63.28597842835131,64.82423038728898,36,75,188,649,1007,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 5%p 이상 차이, 건수 충족, 하향 추세 확인"
광주은행,202607,경기,주택,다가구,65.0,YELLOW,▼,58.8,-6.2,-6.2,58.800000000000004,60.15806451612904,61.06851851851852,63.41891891891892,65.22435897435898,18,31,54,111,156,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 5%p 이상 차이, 건수 충족, 하향 추세 확인"
광주은행,202607,경남,건물,공장(지식산업센터 업무시설),70.0,YELLOW,▼,64.2,-5.8,-5.85,64.15185185185184,65.04,66.15593220338982,68.43382789317508,70.09731663685152,27,60,118,337,559,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 5%p 이상 차이, 건수 충족, 하향 추세 확인"
광주은행,202607,경북,토지,나대지,65.0,YELLOW,▼,57.6,-7.4,-7.37,57.629999999999995,59.020833333333336,58.4574074074074,61.365957446808515,63.22411764705882,10,24,108,329,510,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 5%p 이상 차이, 건수 충족, 하향 추세 확인"
광주은행,202607,경북,토지,임야,55.0,YELLOW,▼,48.9,-6.1,-6.1,48.895833333333336,50.89180327868853,51.391216216216215,52.62596566523605,53.72881136950904,24,61,148,466,774,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 5%p 이상 차이, 건수 충족, 하향 추세 확인"
광주은행,202607,경북,주택,근린주택,65.0,YELLOW,▼,56.2,-8.8,-8.84,56.16,57.15454545454545,58.217241379310344,60.00714285714285,61.982317073170734,15,33,58,126,164,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 5%p 이상 차이, 건수 충족, 하향 추세 확인"
광주은행,202607,대구,주택,다세대주택,70.0,RED,▼,57.2,-12.8,-12.82,57.18333333333334,61.636,62.894642857142856,62.73743315508021,67.23313782991202,12,25,56,187,341,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 10%p 이상 차이, 건수 충족, 하향 추세 확인"
광주은행,202607,대구,주택,단독,70.0,RED,▼,56.8,-13.2,-13.17,56.833333333333336,57.65333333333333,59.85797101449275,62.45893719806763,64.70479704797047,21,30,69,207,271,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 10%p 이상 차이, 건수 충족, 하향 추세 확인"
광주은행,202607,대전,주택,아파트,75.0,GREEN,▲,80.4,5.4,7.12,82.1203125,78.58979591836736,80.40584415584415,81.2891100702576,80.60991884580703,64,147,308,854,1109,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 5%p 이상 차이, 건수 충족, 상향 추세 확인"
