사건번호,용도,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기
광주 4계 2020-4001,단독주택,광주,동구,광주 동구 산수동 554-31,"35,242,240","35,242,240",기각,0,0%,2026-02-19,2026_1Q
광주 1계 2021-62462,아파트,광주,광산구,광주 광산구 선암동 783 선운지구해광샹그릴라 101동 2층 203호,"328,000,000","328,000,000",정지,0,0%,2026-01-07,2026_1Q
광주 1계 2021-62578,아파트,광주,광산구,광주 광산구 선암동 783 선운지구해광샹그릴라 105동 3층 303호,"336,000,000","150,528,000",유찰,0,0%,2026-01-07,2026_1Q
광주 1계 2021-65232,아파트,광주,광산구,광주 광산구 선암동 783 선운지구해광샹그릴라 101동 4층 506호,"332,000,000","332,000,000",유찰,0,0%,2026-01-07,2026_1Q
광주 7계 2022-8793(2),아파트,광주,광산구,광주 광산구 우산동 1609-16 우산동한국아델리움더스위트 5층 501호,"429,000,000","8,453,000",예정,0,0%,2026-03-24,2026_1Q
광주 7계 2022-8793(3),아파트,광주,광산구,광주 광산구 우산동 1609-16 우산동한국아델리움더스위트 5층 502호,"438,000,000","8,630,000",예정,0,0%,2026-03-24,2026_1Q
광주 10계 2023-2839,근린상가,광주,광산구,"광주 광산구 하남동 785 ,786 다승빌딩 1동 4층 401호","6,476,000,000","1,188,352,000",낙찰,"1,191,000,000",18.4%,2026-02-20,2026_1Q
광주 10계 2023-4460(1),근린상가,광주,서구,"광주 서구 매월동 750-4 ,756-3 지하1층 101호","1,059,000,000","242,910,000",낙찰,"292,110,000",27.6%,2026-01-09,2026_1Q
광주 10계 2023-4460(2),근린상가,광주,서구,"광주 서구 매월동 750-4 ,756-3 지하1층 103호","635,000,000","116,524,000",낙찰,"158,880,000",25.0%,2026-02-20,2026_1Q
광주 2계 2023-5166(1),근린상가,광주,서구,광주 서구 치평동 1218-1 프리미엄아울렛 4층 10호,"307,000,000","45,067,000",낙찰,"61,000,000",19.9%,2026-02-19,2026_1Q
광주 2계 2023-5166(2),근린상가,광주,서구,광주 서구 치평동 1218-1 프리미엄아울렛 4층 12호,"307,000,000","45,067,000",낙찰,"61,000,000",19.9%,2026-02-19,2026_1Q
광주 2계 2023-5166(3),근린상가,광주,서구,광주 서구 치평동 1218-1 프리미엄아울렛 4층 15호,"606,000,000","88,962,000",낙찰,"120,000,000",19.8%,2026-02-19,2026_1Q
광주 2계 2023-5166(7),근린상가,광주,서구,광주 서구 치평동 1218-1 프리미엄아울렛 4층 26호,"388,000,000","56,958,000",낙찰,"81,500,000",21.0%,2026-02-19,2026_1Q
광주 2계 2023-5166(8),근린상가,광주,서구,광주 서구 치평동 1218-1 프리미엄아울렛 4층 29호,"684,000,000","100,412,000",낙찰,"140,000,000",20.5%,2026-02-19,2026_1Q
광주 2계 2023-5166(4),근린상가,광주,서구,광주 서구 치평동 1218-1 프리미엄아울렛 4층 19호,"81,000,000","18,579,000",낙찰,"31,800,000",39.3%,2026-02-19,2026_1Q
광주 2계 2023-5166(5),근린상가,광주,서구,광주 서구 치평동 1218-1 프리미엄아울렛 4층 22호,"168,000,000","38,535,000",낙찰,"55,000,000",32.7%,2026-02-19,2026_1Q
광주 2계 2023-5166(6),근린상가,광주,서구,광주 서구 치평동 1218-1 프리미엄아울렛 4층 23호,"168,000,000","38,535,000",낙찰,"55,000,000",32.7%,2026-02-19,2026_1Q
광주 2계 2023-5166(9),근린상가,광주,서구,광주 서구 치평동 1218-1 프리미엄아울렛 4층 35호,"45,000,000","10,322,000",낙찰,"20,200,000",44.9%,2026-02-19,2026_1Q
광주 8계 2023-7087,단독주택,광주,서구,광주 서구 양동 320-30,"143,567,220","143,567,220",신건,0,0%,2026-03-12,2026_1Q
광주 8계 2023-8332,임야,광주,동구,광주 동구 학동 713-25,"90,728,000","20,811,000",진행,0,0%,2026-03-12,2026_1Q
광주 5계 2023-8813(1),아파트상가,광주,서구,"광주 서구 치평동 1330 ,마륵동 802 갤러리303 근린시설동 1층 106호","1,297,000,000","464,845,000",낙찰,"464,845,000",35.8%,2026-01-21,2026_1Q
광주 7계 2023-9687(5),오피스텔(주거),광주,북구,광주 북구 신안동 478-5 굿마인드 7층 719호,"35,000,000","2,106,000",예정,0,0%,2026-03-24,2026_1Q
광주 6계 2023-9878,근린상가,광주,서구,"광주 서구 화정동 23-147 ,23-247 메리앙혼수백화점 2층 205호","124,000,000","124,000,000",진행,0,0%,2026-03-11,2026_1Q
광주 10계 2023-9885,오피스텔(주거),광주,동구,"광주 동구 수기동 89 ,90-1 충장홀리어스주건축물 1동 7층 708호","126,000,000","11,839,000",예정,0,0%,2026-03-27,2026_1Q
광주 5계 2023-63209(1),전,광주,북구,광주 북구 청풍동 1205-3,"5,743,920","1,648,000",예정,0,0%,2026-04-15,2026_2Q
광주 1계 2023-64110,오피스텔(주거),광주,북구,광주 북구 신안동 478-5 굿마인드 6층 602호,"55,000,000","693,862",기각,0,0%,2026-02-04,2026_1Q
광주 3계 2023-70832,아파트,광주,북구,광주 북구 오치동 924-13 오치 1동 1층 102호,"87,000,000","48,720,000",낙찰,"55,620,000",63.9%,2026-03-05,2026_1Q
광주 1계 2023-71316,아파트,광주,북구,"광주 북구 매곡동 178-7 ,178-16,182-28 아남 101동 1층 104호","167,000,000","93,520,000",낙찰,"111,000,000",66.5%,2026-01-07,2026_1Q
광주 10계 2023-74117,다세대,광주,서구,광주 서구 쌍촌동 537-2 마당채 4층 405호,"38,000,000","1,171,000",예정,0,0%,2026-03-27,2026_1Q
광주 9계 2023-76762,오피스텔(주거),광주,북구,광주 북구 신안동 478-5 굿마인드 4층 401호,"64,000,000","1,972,000",예정,0,0%,2026-04-08,2026_2Q
광주 3계 2023-76809,오피스텔(주거),광주,동구,"광주 동구 금남로4가 79-1 ,충장로4가 7-3,7-14 로머스파크 13층 1305호","124,000,000","2,444,000",낙찰,"3,650,000",2.9%,2026-01-22,2026_1Q
광주 10계 2023-78041,아파트,광주,동구,광주 동구 지산동 671 지산휴먼시아 102동 1층 105호,"349,000,000","349,000,000",예정,0,0%,2026-03-27,2026_1Q
광주 10계 2023-80778,근린상가,광주,동구,"광주 동구 대인동 198-19 ,200-1","745,742,800","417,616,000",취하,0,0%,2026-01-09,2026_1Q
광주 8계 2023-80884,오피스텔(주거),광주,북구,광주 북구 신안동 478-5 굿마인드 3층 326호,"52,000,000","2,502,000",유찰,0,0%,2026-01-29,2026_1Q
광주 3계 2023-82149(1),오피스텔(주거),광주,북구,광주 북구 신안동 478-5 6층 629호,"38,000,000","1,169,817",기각,0,0%,2026-01-05,2026_1Q
광주 5계 2023-82187,다가구,광주,북구,광주 북구 신안동 240-2 스위트빌,"932,067,840","28,696,000",예정,0,0%,2026-04-15,2026_2Q
광주 2계 2024-236(1),근린상가,광주,광산구,광주 광산구 도산동 773-4 3층 301호,"1,340,000,000","480,256,000",취하,0,0%,2026-01-08,2026_1Q
광주 2계 2024-236(2),근린상가,광주,광산구,광주 광산구 도산동 773-4 4층 401호,"840,000,000","301,056,000",취하,0,0%,2026-01-08,2026_1Q
광주 7계 2024-700,공장,광주,북구,광주 북구 연제동 1038-5 가동호,"7,671,798,620","5,370,260,000",예정,0,0%,2026-03-24,2026_1Q
광주 8계 2024-724(1),대지,광주,북구,광주 북구 용두동 513-2,"57,150,000","40,005,000",예정,0,0%,2026-04-23,2026_2Q
광주 8계 2024-724(2),도로,광주,북구,광주 북구 용두동 538-2,"22,620,000","15,834,000",예정,0,0%,2026-04-23,2026_2Q
광주 6계 2024-1031,근린상가,광주,남구,광주 남구 봉선동 465-3 케이씨빌딩 4층 401호,"2,759,000,000","1,545,040,000",진행,0,0%,2026-03-11,2026_1Q
광주 5계 2024-1529,근린주택,광주,남구,광주 남구 월산동 953-10 1동,"2,839,395,280","1,590,062,000",낙찰,"1,932,000,000",68.0%,2026-03-04,2026_1Q
광주 2계 2024-2232(1),전,광주,동구,광주 동구 지산동 268-4,"387,530,000","173,614,000",낙찰,"180,001,000",46.4%,2026-01-08,2026_1Q
광주 2계 2024-2232(2),임야,광주,동구,광주 동구 지산동 268-7,"663,040,000","297,043,000",낙찰,"305,001,000",46.0%,2026-01-08,2026_1Q
광주 12계 2024-2485,답,광주,북구,광주 북구 월출동 92,"1,907,121,000","1,067,988,000",예상,0,0%,2026-04-17,2026_2Q
광주 11계 2024-3129,아파트,광주,남구,광주 남구 노대동 835 송화레이크포레 605동 3층 303호,"528,000,000","369,600,000",취하,0,0%,2026-02-04,2026_1Q
광주 10계 2024-3709(1),아파트상가,광주,남구,광주 남구 지석동 444 일진스위트포레 상가동 지하1층 비1-101호,"509,000,000","116,753,000",예정,0,0%,2026-03-27,2026_1Q
광주 10계 2024-3709(2),아파트상가,광주,남구,광주 남구 지석동 444 일진스위트포레 상가동 1층 1-101호,"167,000,000","59,853,000",낙찰,"59,990,000",35.9%,2026-01-09,2026_1Q
광주 10계 2024-3709(3),아파트상가,광주,남구,광주 남구 지석동 444 일진스위트포레 상가동 1층 1-102호,"260,000,000","74,548,000",낙찰,"80,190,000",30.8%,2026-02-20,2026_1Q
광주 10계 2024-3709(4),아파트상가,광주,남구,광주 남구 지석동 444 일진스위트포레 상가동 1층 1-103호,"330,000,000","118,272,000",낙찰,"118,990,000",36.1%,2026-01-09,2026_1Q
광주 11계 2024-3716,다가구,광주,광산구,광주 광산구 신창동 650-18,"855,518,600","306,620,000",예정,0,0%,2026-04-14,2026_2Q
광주 2계 2024-3921,주상복합(상가),광주,동구,광주 동구 산수동 715 라도스하임 1층 116호,"194,500,000","22,843,000",낙찰,"26,660,000",13.7%,2026-02-19,2026_1Q
광주 11계 2024-4375(2),단독주택,광주,남구,광주 남구 월산동 983-26,"192,818,530","134,973,000",예정,0,0%,2026-04-14,2026_2Q
광주 11계 2024-4375(4),단독주택,광주,북구,광주 북구 오치동 973-1,"218,222,880","152,757,000",예정,0,0%,2026-04-14,2026_2Q
광주 11계 2024-4375(5),단독주택,광주,북구,광주 북구 신안동 250-6,"153,852,120","107,697,000",예정,0,0%,2026-04-14,2026_2Q
광주 11계 2024-4504,단독주택,광주,동구,광주 동구 계림동 1672,"52,486,175","15,050,000",낙찰,"17,777,000",33.9%,2026-03-03,2026_1Q
광주 2계 2024-4849(1),숙박시설,광주,서구,광주 서구 농성동 645-10,"1,102,168,600","617,216,000",예정,0,0%,2026-04-02,2026_2Q
광주 2계 2024-4849(2),숙박시설,광주,서구,광주 서구 농성동 645-15,"1,752,732,700","981,531,000",예정,0,0%,2026-04-02,2026_2Q
광주 1계 2024-5354,주상복합(상가),광주,북구,광주 북구 우산동 4-1 우산동우미프라자 지하1층 6호,"219,000,000","40,186,675",낙찰,"41,120,000",18.8%,2026-01-07,2026_1Q
광주 8계 2024-5422,점포,광주,동구,광주 동구 대인동 21,"965,792,000","276,911,000",취하,0,0%,2026-01-29,2026_1Q
광주 6계 2024-5538(1),오피스텔(주거),광주,동구,"광주 동구 금남로4가 79-1 ,충장로4가 7-3,7-14 로머스파크주건축물 10층 1015호","313,000,000","112,180,000",진행,0,0%,2026-03-11,2026_1Q
광주 6계 2024-5538(2),오피스텔,광주,동구,"광주 동구 금남로4가 79-1 ,충장로4가 7-3,7-14 로머스파크주건축물 19층 1903호","336,000,000","120,423,000",진행,0,0%,2026-03-11,2026_1Q
광주 6계 2024-5538(3),오피스텔,광주,동구,"광주 동구 금남로4가 79-1 ,충장로4가 7-3,7-14 로머스파크주건축물 19층 1904호","336,000,000","150,528,000",낙찰,"157,888,900",47.0%,2026-01-28,2026_1Q
광주 6계 2024-5538(4),오피스텔,광주,동구,"광주 동구 금남로4가 79-1 ,충장로4가 7-3,7-14 로머스파크주건축물 22층 2204호","342,000,000","153,216,000",낙찰,"164,186,300",48.0%,2026-01-28,2026_1Q
광주 5계 2024-5583,아파트,광주,북구,광주 북구 연제동 1009 연제2차대주피오레 202동 1층 101호,"301,000,000","210,700,000",취하,0,0%,2026-03-04,2026_1Q
광주 5계 2024-5767,전,광주,광산구,광주 광산구 북산동 594-2,"13,353,100","13,353,100",낙찰,"15,210,000",113.9%,2026-01-21,2026_1Q
광주 9계 2024-6036,임야,광주,북구,광주 북구 문흥동 산26,"666,440,000","152,866,000",낙찰,"160,200,000",24.0%,2026-01-14,2026_1Q
광주 12계 2024-6067,아파트형공장,광주,북구,광주 북구 연제동 1038-6 첨단리채비즈타워지식산업센터 6층 에이-601호,"793,000,000","555,100,000",예상,0,0%,2026-04-17,2026_2Q
광주 9계 2024-6142,연립,광주,남구,광주 남구 주월동 497 에이엠시티101 4층 415호,"50,000,000","7,340,000",낙찰,"7,340,000",14.7%,2026-01-14,2026_1Q
광주 12계 2024-6227,아파트,광주,광산구,광주 광산구 운남동 781-1 운남8단지주공 802동 5층 504호,"203,000,000","142,100,000",예상,0,0%,2026-04-17,2026_2Q
광주 11계 2024-6296(1),공장용지,광주,광산구,광주 광산구 연산동 1243,"1,670,331,600","1,169,233,000",기각,0,0%,2026-01-26,2026_1Q
광주 11계 2024-6296(2),공장용지,광주,광산구,광주 광산구 연산동 1244,"1,825,065,900","1,277,547,000",기각,0,0%,2026-01-26,2026_1Q
광주 5계 2024-6470(1),다세대,광주,북구,광주 북구 용봉동 751-3 로즈빌라 4층 403호,"87,000,000","19,956,000",낙찰,"21,120,000",24.3%,2026-03-04,2026_1Q
광주 5계 2024-6470(2),다세대,광주,북구,광주 북구 용봉동 751-3 로즈빌라 4층 404호,"92,000,000","16,884,000",예정,0,0%,2026-04-15,2026_2Q
광주 2계 2024-6883,답,광주,광산구,광주 광산구 신촌동 697-4,"1,525,006,000","683,204,000",낙찰,"716,670,000",47.0%,2026-02-19,2026_1Q
