사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
광주 7계 2022-8793(2),아파트,아파트,아파트,광주,광산구,광주 광산구 우산동 1609-16 우산동한국아델리움더스위트 5층 501호,"429,000,000","8,453,000",예정,0,0%,2026-03-24,2026_1Q,0
광주 7계 2022-8793(3),아파트,아파트,아파트,광주,광산구,광주 광산구 우산동 1609-16 우산동한국아델리움더스위트 5층 502호,"438,000,000","8,630,000",예정,0,0%,2026-03-24,2026_1Q,0
광주 8계 2023-7087,단독주택,단독,단독주택,광주,서구,광주 서구 양동 320-30,"143,567,220","143,567,220",신건,0,0%,2026-03-12,2026_1Q,0
광주 8계 2023-8332,임야,임야,임야,광주,동구,광주 동구 학동 713-25,"90,728,000","20,811,000",진행,0,0%,2026-03-12,2026_1Q,0
광주 7계 2023-9687(5),오피스텔(주거),오피스텔,오피스텔(업무용),광주,북구,광주 북구 신안동 478-5 굿마인드 7층 719호,"35,000,000","2,106,000",예정,0,0%,2026-03-24,2026_1Q,0
광주 10계 2023-9885,오피스텔(주거),오피스텔,오피스텔(업무용),광주,동구,"광주 동구 수기동 89 ,90-1 충장홀리어스주건축물 1동 7층 708호","126,000,000","11,839,000",예정,0,0%,2026-03-27,2026_1Q,0
광주 5계 2023-63209(1),전,전,전,광주,북구,광주 북구 청풍동 1205-3,"5,743,920","1,648,000",예정,0,0%,2026-04-15,2026_2Q,0
광주 1계 2023-64110,오피스텔(주거),오피스텔,오피스텔(업무용),광주,북구,광주 북구 신안동 478-5 굿마인드 6층 602호,"55,000,000","693,862",기각,0,0%,2026-02-04,2026_1Q,0
광주 10계 2023-74117,다세대,다세대주택,다세대,광주,서구,광주 서구 쌍촌동 537-2 마당채 4층 405호,"38,000,000","1,171,000",예정,0,0%,2026-03-27,2026_1Q,0
광주 9계 2023-76762,오피스텔(주거),오피스텔,오피스텔(업무용),광주,북구,광주 북구 신안동 478-5 굿마인드 4층 401호,"64,000,000","1,972,000",예정,0,0%,2026-04-08,2026_2Q,0
광주 10계 2023-78041,아파트,아파트,아파트,광주,동구,광주 동구 지산동 671 지산휴먼시아 102동 1층 105호,"349,000,000","349,000,000",예정,0,0%,2026-03-27,2026_1Q,0
광주 8계 2023-80884,오피스텔(주거),오피스텔,오피스텔(업무용),광주,북구,광주 북구 신안동 478-5 굿마인드 3층 326호,"52,000,000","2,502,000",유찰,0,0%,2026-01-29,2026_1Q,0
광주 5계 2023-82187,다가구,다가구,다가구,광주,북구,광주 북구 신안동 240-2 스위트빌,"932,067,840","28,696,000",예정,0,0%,2026-04-15,2026_2Q,0
광주 7계 2024-700,공장,공장(지식산업센터 업무시설),공장,광주,북구,광주 북구 연제동 1038-5 가동호,"7,671,798,620","5,370,260,000",예정,0,0%,2026-03-24,2026_1Q,0
광주 8계 2024-724(1),대지,나대지,나대지,광주,북구,광주 북구 용두동 513-2,"57,150,000","40,005,000",예정,0,0%,2026-04-23,2026_2Q,0
광주 8계 2024-724(2),도로,기타토지,기타토지,광주,북구,광주 북구 용두동 538-2,"22,620,000","15,834,000",예정,0,0%,2026-04-23,2026_2Q,0
광주 12계 2024-2485,답,답,답,광주,북구,광주 북구 월출동 92,"1,907,121,000","1,067,988,000",예상,0,0%,2026-04-17,2026_2Q,0
광주 11계 2024-3129,아파트,아파트,아파트,광주,남구,광주 남구 노대동 835 송화레이크포레 605동 3층 303호,"528,000,000","369,600,000",취하,0,0%,2026-02-04,2026_1Q,0
광주 10계 2024-3709(1),아파트상가,아파트상가,기타토지,광주,남구,광주 남구 지석동 444 일진스위트포레 상가동 지하1층 비1-101호,"509,000,000","116,753,000",예정,0,0%,2026-03-27,2026_1Q,0
광주 11계 2024-3716,다가구,다가구,다가구,광주,광산구,광주 광산구 신창동 650-18,"855,518,600","306,620,000",예정,0,0%,2026-04-14,2026_2Q,0
