사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
중앙 2계 2019-109187,대지,나대지,나대지,서울,종로구,서울 종로구 동숭동 25-3,"2,528,488,000","2,022,790,000",기각,0,0%,2026-04-09,2026_2Q,0
중앙 11계 2021-105850,다세대,다세대주택,다세대,서울,서초구,"서울 서초구 잠원동 24-20 ,-21 3층 304호","12,887,000,000","4,222,812,000",낙찰,"8,505,000,000",66.0%,2026-04-09,2026_2Q,0
중앙 4계 2022-107457,아파트상가,아파트상가,근린상가,서울,동작구,"서울 동작구 사당동 105 ,105-2 극동 113상가동 2층 202호","178,000,000","178,000,000",취하,0,0%,2026-04-01,2026_2Q,0
중앙 12계 2023-3842(1),근린상가,근린상가,근린상가,서울,관악구,서울 관악구 남현동 1082-33 한샘빌라 지1층 비101호,"166,000,000","67,994,000",낙찰,"70,707,077",42.6%,2026-04-23,2026_2Q,0
중앙 12계 2023-3842(3),다세대,다세대주택,다세대,서울,관악구,서울 관악구 남현동 1082-33 한샘빌라 5층 502호,"409,000,000","167,526,000",낙찰,"178,341,000",43.6%,2026-04-23,2026_2Q,0
중앙 7계 2023-4722,오피스텔(주거),오피스텔,오피스텔(업무용),서울,중구,서울 중구 오장동 145-1 오렌지카운티을지로 6층 604호,"231,000,000","5,201,000",낙찰,"5,410,000",2.3%,2026-04-02,2026_2Q,0
중앙 10계 2023-6278,아파트,아파트,아파트,서울,강남구,"서울 강남구 도곡동 527 ,527-2,528,529,530 도곡렉슬 206동 2층 203호","2,700,000,000","2,160,000,000",낙찰,"3,336,524,000",123.6%,2026-04-08,2026_2Q,0
중앙 1계 2023-110689,다가구,다가구,다가구,서울,동작구,서울 동작구 사당동 422-3,"1,968,638,200","1,259,929,000",낙찰,"1,588,880,000",80.7%,2026-04-14,2026_2Q,0
중앙 11계 2023-114094(2),다세대,다세대주택,다세대,서울,관악구,서울 관악구 신림동 99-23 서린빌 2층 201호,"238,000,000","121,856,000",유찰,0,0%,2026-04-09,2026_2Q,0
중앙 7계 2023-114353,오피스텔(주거),오피스텔,오피스텔(업무용),서울,관악구,"서울 관악구 신림동 1431-38 ,1431-39,1431-40 신림 10층 1004호","148,000,000","75,776,000",취하,0,0%,2026-04-07,2026_2Q,0
중앙 11계 2024-178(1),시장,기타토지,기타토지,서울,중구,서울 중구 신당동 217-91 청평화시장 5층 가504호,"304,000,000","16,713,000",유찰,0,0%,2026-04-09,2026_2Q,0
중앙 8계 2024-772,근린주택,근린주택,근린주택,서울,관악구,서울 관악구 신림동 492-21,"2,649,910,860","1,356,754,000",낙찰,"1,700,000,000",64.2%,2026-04-22,2026_2Q,0
