사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
울산 7계 2017-6896,아파트,아파트,아파트,울산,중구,울산 중구 학성동 379 남운학성타운 102동 1층 108호,"302,000,000","193,280,000",취하,0,0%,2023-08-21,2023_3Q,3
울산 3계 2017-7233,대지,나대지,나대지,울산,남구,울산 남구 달동 867,"6,527,488,000","4,177,592,000",기각,0,0%,2023-07-07,2023_3Q,3
울산 2계 2019-2485,단독주택,단독,단독주택,울산,중구,울산 중구 학성동 156-11,"402,150,140","281,505,000",취하,0,0%,2023-11-24,2023_4Q,3
울산 10계 2019-13119(10),오피스텔,오피스텔,오피스텔(업무용),울산,중구,울산 중구 성안동 867-3 로얄팰리스 104동 제6층 602호,"215,000,000","105,350,000",낙찰,"111,388,000",51.8%,2023-08-10,2023_3Q,3
울산 10계 2019-15061,답,답,답,울산,울주군,울산 울주군 온양읍 망양리 484,"74,088,000","74,088,000",기각,0,0%,2023-10-18,2023_4Q,3
울산 3계 2020-72,주유소용지,기타토지,주유소,울산,울주군,울산 울주군 두동면 천전리 752,"410,400,000","140,767,000",낙찰,"200,000,000",48.7%,2023-09-19,2023_3Q,3
울산 9계 2020-478,주상복합(상가),기타토지,기타토지,울산,동구,"울산 동구 방어동 139-3 동서아트빌라 2,3층 201호","1,280,000,000","307,328,000",낙찰,"378,770,000",29.6%,2023-07-18,2023_3Q,3
울산 9계 2020-3200,근린상가,근린상가,근린상가,울산,울주군,울산 울주군 서생면 명산리 303-5,"1,031,125,420","505,252,000",낙찰,"619,900,000",60.1%,2023-10-31,2023_4Q,3
울산 3계 2020-3903,숙박시설,숙박시설,숙박시설,울산,울주군,울산 울주군 언양읍 동부리 133-7,"1,988,333,780","974,284,000",낙찰,"975,100,000",49.0%,2023-10-24,2023_4Q,3
울산 2계 2020-4494,단독주택,단독,단독주택,울산,중구,울산 중구 성안동 489-6 주건축물 1동,"1,600,427,000","784,209,000",낙찰,"957,700,000",59.8%,2023-08-09,2023_3Q,3
울산 8계 2020-8472,아파트,아파트,아파트,울산,북구,울산 북구 달천동 107-1 그린카운티 201동 3층 303호,"198,000,000","138,600,000",낙찰,"159,875,999",80.7%,2023-11-30,2023_4Q,3
울산 3계 2020-8915(13),오피스텔(주거),오피스텔,오피스텔(업무용),울산,남구,울산 남구 신정동 1110 리더스파크 8층 805호,"76,300,000","8,977,000",기각,0,0%,2023-12-14,2023_4Q,3
울산 3계 2020-8915(15),오피스텔(주거),오피스텔,오피스텔(업무용),울산,남구,울산 남구 신정동 1110 리더스파크 10층 1005호,"78,600,000","9,247,000",기각,0,0%,2023-12-14,2023_4Q,3
울산 3계 2020-8915(16),오피스텔(주거),오피스텔,오피스텔(업무용),울산,남구,울산 남구 신정동 1110 리더스파크 11층 1102호,"78,200,000","9,200,000",기각,0,0%,2023-12-14,2023_4Q,3
울산 3계 2020-8915(19),오피스텔(주거),오피스텔,오피스텔(업무용),울산,남구,울산 남구 신정동 1110 리더스파크 13층 1303호,"78,800,000","3,180,000",기각,0,0%,2023-12-14,2023_4Q,3
울산 3계 2020-8915(25),오피스텔(주거),오피스텔,오피스텔(업무용),울산,남구,울산 남구 신정동 1110 리더스파크 17층 1702호,"78,200,000","9,200,000",기각,0,0%,2023-12-14,2023_4Q,3
울산 3계 2020-9802,아파트,아파트,아파트,울산,남구,울산 남구 신정동 942-10 영보가든맨션 12층 1210호,"190,000,000","133,000,000",취하,0,0%,2023-11-28,2023_4Q,3
울산 5계 2020-10710,아파트,아파트,아파트,울산,중구,"울산 중구 성안동 503-11 ,-12 루미나리에 2층 202호","232,000,000","232,000,000",취하,0,0%,2023-12-28,2023_4Q,3
울산 10계 2020-102794,오피스텔(주거),오피스텔,오피스텔(업무용),울산,중구,울산 중구 반구동 703-1 럭키빌리지 1층 102호,"43,000,000","851,000",기각,0,0%,2023-10-19,2023_4Q,3
울산 8계 2020-106499(1),대지,나대지,나대지,울산,울주군,울산 울주군 삼남읍 방기리 950-5,"152,790,560","52,407,000",낙찰,"56,530,000",37.0%,2023-11-30,2023_4Q,3
울산 8계 2020-106499(2),대지,나대지,나대지,울산,울주군,울산 울주군 삼남읍 방기리 951-1,"235,152,680","80,658,000",낙찰,"87,110,000",37.0%,2023-11-30,2023_4Q,3
울산 8계 2020-106499(3),대지,나대지,나대지,울산,울주군,울산 울주군 삼남읍 방기리 965-3,"46,714,910","16,023,000",낙찰,"17,280,000",37.0%,2023-11-30,2023_4Q,3
울산 1계 2020-111347(2),주상복합(주거),기타토지,기타토지,울산,동구,"울산 동구 방어동 308-3 ,-8,-18,307-3,-8 월드스카이파크 19층 2101호","210,000,000","8,475,000",낙찰,"8,507,100",4.1%,2023-12-20,2023_4Q,3
울산 8계 2020-113039,대지,나대지,나대지,울산,울주군,울산 울주군 범서읍 천상리 608-8,"1,083,474,600","1,083,474,600",취하,0,0%,2023-11-25,2023_4Q,3
울산 4계 2020-113084(2),공장,공장(지식산업센터 업무시설),공장,울산,울주군,울산 울주군 웅촌면 고연리 1178-21 1동호,"1,981,264,900","1,386,885,000",낙찰,"1,911,180,000",96.5%,2023-08-30,2023_3Q,3
울산 5계 2021-1089(2),임야,임야,임야,울산,북구,울산 북구 신현동 560,"86,376,000","20,739,000",낙찰,"27,778,000",32.2%,2023-08-23,2023_3Q,3
울산 3계 2021-1539,근린주택,근린주택,근린주택,울산,남구,울산 남구 달동 126-9,"1,214,225,580","849,958,000",낙찰,"940,501,580",77.5%,2023-09-19,2023_3Q,3
울산 7계 2021-2150,근린상가,근린상가,근린상가,울산,울주군,울산 울주군 범서읍 천상리 643-5,"986,005,120","483,143,000",낙찰,"636,000,000",64.5%,2023-11-09,2023_4Q,3
울산 5계 2021-3313(1),잡종지,잡종지,잡종지,울산,울주군,울산 울주군 온산읍 처용리 366-1,"5,336,597,000","1,830,453,000",낙찰,"3,606,000,000",67.6%,2023-11-02,2023_4Q,3
울산 5계 2021-3313(2),답,답,답,울산,울주군,울산 울주군 온산읍 처용리 355-5,"81,136,000","27,830,000",낙찰,"60,000,000",73.9%,2023-11-02,2023_4Q,3
울산 10계 2021-3429,다가구,다가구,다가구,울산,북구,울산 북구 중산동 1280-2,"1,150,345,200","563,669,000",낙찰,"746,863,000",64.9%,2023-07-06,2023_3Q,3
울산 4계 2021-5135,임야,임야,임야,울산,울주군,울산 울주군 두서면 활천리 산68,"998,175,000","489,106,000",취하,0,0%,2023-07-03,2023_3Q,3
울산 8계 2021-6640,공장,공장(지식산업센터 업무시설),공장,울산,울주군,"울산 울주군 온양읍 발리 1030 ,1030-1","4,110,074,700","2,013,936,000",낙찰,"2,310,000,000",56.2%,2023-09-20,2023_3Q,3
울산 3계 2021-6749,임야,임야,임야,울산,울주군,울산 울주군 두동면 이전리 558-5,"128,250,000","43,990,000",낙찰,"49,840,000",38.9%,2023-10-24,2023_4Q,3
울산 3계 2021-7971(1),점포,근린상가,점포상가,울산,북구,울산 북구 당사동 527,"350,188,000","171,592,000",낙찰,"205,000,000",58.5%,2023-09-19,2023_3Q,3
울산 3계 2021-7971(2),점포,근린상가,점포상가,울산,북구,"울산 북구 당사동 533 ,531,531-1","1,201,348,820","412,063,000",낙찰,"560,100,000",46.6%,2023-10-24,2023_4Q,3
울산 3계 2021-8301(3),임야,임야,임야,울산,울주군,울산 울주군 범서읍 굴화리 산90-1,"528,816,000","126,969,000",낙찰,"145,000,000",27.4%,2023-10-24,2023_4Q,3
울산 10계 2021-8691,오피스텔(상가),오피스텔,오피스텔(업무용),울산,북구,"울산 북구 산하동 972-7 ,972-6 뉴타운 1동 1층 101호","435,000,000","149,205,000",낙찰,"153,580,000",35.3%,2023-07-06,2023_3Q,3
울산 3계 2021-8721,오피스텔(상가),오피스텔,오피스텔(업무용),울산,북구,"울산 북구 산하동 972-6 ,972-7 뉴타운 1동 1층 104호","435,000,000","104,444,000",낙찰,"132,600,000",30.5%,2023-07-12,2023_3Q,3
울산 8계 2021-8752,단독주택,단독,단독주택,울산,울주군,울산 울주군 온산읍 덕신리 1365-8,"607,648,640","297,748,000",낙찰,"297,848,000",49.0%,2023-09-20,2023_3Q,3
울산 2계 2021-9113,임야,임야,임야,울산,울주군,울산 울주군 두동면 만화리 683-13,"153,045,000","52,494,000",낙찰,"54,600,000",35.7%,2023-07-11,2023_3Q,3
울산 1계 2021-9120,숙박시설,숙박시설,숙박시설,울산,울주군,울산 울주군 상북면 덕현리 72-2,"3,880,162,810","1,901,280,000",낙찰,"2,011,000,000",51.8%,2023-08-29,2023_3Q,3
울산 5계 2021-9182(1),아파트상가,아파트상가,기타토지,울산,남구,"울산 남구 신정동 1880 ,1883,1884 태화강풍림엑슬루타워 판매시설동 2층 216-O호","489,000,000","167,727,000",낙찰,"171,100,000",35.0%,2023-11-02,2023_4Q,3
울산 5계 2021-9182(2),아파트상가,아파트상가,기타토지,울산,남구,"울산 남구 신정동 1880 ,1883,1884 태화강풍림엑슬루타워 판매시설동 3층 316-N호","365,000,000","125,195,000",낙찰,"128,300,000",35.2%,2023-11-02,2023_4Q,3
울산 2계 2021-9205(1),근린상가,근린상가,근린상가,울산,남구,"울산 남구 신정동 1880 ,1883,1884 태화강풍림엑슬루타워 판매시설동 3층 316-A호","485,000,000","166,355,000",낙찰,"181,419,000",37.4%,2023-10-25,2023_4Q,3
울산 2계 2021-9205(2),근린상가,근린상가,근린상가,울산,남구,"울산 남구 신정동 1880 ,1883,1884 태화강풍림엑슬루타워 판매시설동 3층 316-O호","409,000,000","140,287,000",낙찰,"141,100,000",34.5%,2023-10-25,2023_4Q,3
울산 10계 2021-9366,근린상가,근린상가,근린상가,울산,북구,울산 북구 산하동 1026-2 아너스빌딩 1층 104호,"540,000,000","185,220,000",취하,0,0%,2023-10-30,2023_4Q,3
울산 10계 2021-9397,다가구,다가구,다가구,울산,동구,울산 동구 방어동 129-1,"1,598,514,200","548,290,000",낙찰,"788,888,000",49.4%,2023-08-10,2023_3Q,3
울산 2계 2021-9410,전,전,전,울산,울주군,울산 울주군 상북면 지내리 826,"315,560,000","154,624,000",낙찰,"221,000,000",70.0%,2023-07-11,2023_3Q,3
