사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
제주 1계 2018-7780,도로,기타토지,기타토지,제주,서귀포시,제주 서귀포시 호근동 1128-1,"61,659,220","21,149,000",낙찰,"27,500,000",44.6%,2021-05-10,2021_2Q,3
제주 3계 2019-3723(1),숙박시설,숙박시설,숙박시설,제주,제주시,제주 제주시 조천읍 대흘리 1728-2 메이플하우스유스호스텔 1층 101호,"71,000,000","24,353,000",낙찰,"31,959,990",45.0%,2021-05-24,2021_2Q,3
제주 3계 2019-3723(3),숙박시설,숙박시설,숙박시설,제주,제주시,제주 제주시 조천읍 대흘리 1728-2 메이플하우스유스호스텔 1층 103호,"52,000,000","17,836,000",낙찰,"23,499,990",45.2%,2021-05-24,2021_2Q,3
제주 3계 2019-5255,전,전,전,제주,제주시,제주 제주시 구좌읍 세화리 2165,"71,000,000","34,790,000",낙찰,"45,100,000",63.5%,2021-05-24,2021_2Q,3
제주 2계 2019-6791(2),전,전,전,제주,제주시,제주 제주시 한림읍 수원리 266-25,"153,773,000","107,641,000",낙찰,"142,000,000",92.3%,2021-04-05,2021_2Q,3
제주 1계 2019-7725(2),임야,임야,임야,제주,제주시,제주 제주시 구좌읍 월정리 산29-1,"2,003,850,000","687,321,000",낙찰,"808,000,000",40.3%,2021-06-14,2021_2Q,3
제주 1계 2019-7725(3),임야,임야,임야,제주,제주시,제주 제주시 구좌읍 월정리 산29-14,"2,003,850,000","981,887,000",낙찰,"1,100,009,900",54.9%,2021-05-10,2021_2Q,3
제주 5계 2019-8124(2),숙박시설,숙박시설,숙박시설,제주,서귀포시,제주 서귀포시 서귀동 319-2 비스타케이호텔(천지연) 9층 903호,"233,000,000","39,160,000",낙찰,"62,770,000",26.9%,2021-04-26,2021_2Q,3
제주 1계 2019-8636(1),도로,기타토지,기타토지,제주,제주시,제주 제주시 한림읍 상대리 1207-5,"22,885,000","11,214,000",낙찰,"13,811,000",60.3%,2021-06-14,2021_2Q,3
제주 1계 2019-8636(3),전,전,전,제주,제주시,제주 제주시 한림읍 귀덕리 2193-1,"20,151,250","14,106,000",낙찰,"25,120,000",124.7%,2021-05-10,2021_2Q,3
제주 4계 2019-9110,숙박시설,숙박시설,숙박시설,제주,제주시,제주 제주시 연동 253-3 제주센트럴시티호텔 7층 718호,"193,000,000","46,339,000",낙찰,"60,611,000",31.4%,2021-05-31,2021_2Q,3
제주 6계 2019-9134,숙박시설,숙박시설,숙박시설,제주,제주시,"제주 제주시 조천읍 함덕리 3061 ,3065,3066-2,3067,3068,3074,3076 제주함덕라마다호텔 6층 625호","160,000,000","54,880,000",낙찰,"56,100,000",35.1%,2021-05-31,2021_2Q,3
