사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
청주 4계 2017-1113,아파트,아파트,아파트,충북,청주시,충북 청주시 청원구 사천동 437 동아 103동 15층 1506호,"164,000,000","131,200,000",낙찰,"150,000,000",91.5%,2021-05-14,2021_2Q,3
청주 6계 2017-11585,아파트,아파트,아파트,충북,진천군,충북 진천군 광혜원면 광혜원리 408-3 주연 3층 304호,"76,000,000","48,640,000",낙찰,"52,990,000",69.7%,2021-06-03,2021_2Q,3
청주 5계 2018-4539,대지,나대지,나대지,충북,청주시,충북 청주시 청원구 우암동 337-15,"144,346,200","115,477,000",낙찰,"124,137,700",86.0%,2021-05-26,2021_2Q,3
청주 4계 2018-5860(13),아파트,아파트,아파트,충북,청주시,충북 청주시 청원구 율량동 1144 한울 301동 4층 407호,"75,000,000","6,442,000",낙찰,"6,442,000",8.6%,2021-06-18,2021_2Q,3
청주 2계 2018-6634(1),전,전,전,충북,청주시,충북 청주시 청원구 내수읍 내수리 161-8,"4,688,892,000","3,000,891,000",낙찰,"3,599,999,000",76.8%,2021-04-12,2021_2Q,3
청주 2계 2018-6634(2),임야,임야,임야,충북,청주시,충북 청주시 청원구 내수읍 내수리 162-12,"1,577,763,000","1,009,768,000",낙찰,"1,319,999,000",83.7%,2021-04-12,2021_2Q,3
청주 7계 2018-7286(3),아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 104동 3층 304호","80,000,000","40,960,000",낙찰,"47,199,000",59.0%,2021-06-17,2021_2Q,3
청주 7계 2018-7286(6),아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 104동 4층 406호","80,000,000","51,200,000",낙찰,"51,300,000",64.1%,2021-05-13,2021_2Q,3
청주 7계 2018-7286(14),아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 104동 13층 1305호","82,000,000","41,984,000",낙찰,"42,001,000",51.2%,2021-06-17,2021_2Q,3
청주 7계 2018-7286(15),아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 104동 13층 1306호","82,000,000","41,984,000",낙찰,"47,799,000",58.3%,2021-06-17,2021_2Q,3
청주 5계 2018-13922,숙박시설,숙박시설,숙박시설,충북,청주시,충북 청주시 서원구 남이면 외천리 641-3,"904,464,840","296,375,000",낙찰,"350,100,000",38.7%,2021-04-14,2021_2Q,3
청주 5계 2018-14178(1),아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 102동 12층 1201호","82,000,000","41,984,000",낙찰,"43,210,000",52.7%,2021-05-26,2021_2Q,3
청주 7계 2018-14185(1),아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 103동 2층 206호","78,200,000","32,030,000",낙찰,"33,790,000",43.2%,2021-06-17,2021_2Q,3
청주 7계 2018-14185(2),아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 104동 4층 405호","78,200,000","32,030,000",낙찰,"38,730,000",49.5%,2021-06-17,2021_2Q,3
청주 7계 2018-14185(4),아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 105동 10층 1003호","36,800,000","15,074,000",낙찰,"15,530,000",42.2%,2021-06-17,2021_2Q,3
청주 1계 2018-14192(1),아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 101동 3층 308호","78,000,000","39,936,000",낙찰,"45,280,000",58.1%,2021-03-29,2021_1Q,3
청주 1계 2018-14192(2),아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 101동 5층 501호","78,000,000","39,936,000",낙찰,"44,299,000",56.8%,2021-03-29,2021_1Q,3
청주 3계 2018-14208(2),아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 105동 4층 405호","43,000,000","17,613,000",낙찰,"18,690,000",43.5%,2021-04-30,2021_2Q,3
청주 3계 2018-14208(5),아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 105동 5층 508호","43,000,000","14,090,000",낙찰,"14,100,000",32.8%,2021-06-04,2021_2Q,3
청주 2계 2018-55520(1),공장,공장(지식산업센터 업무시설),공장,충북,증평군,충북 증평군 증평읍 미암리 1036 1동,"13,398,321,290","6,859,941,000",낙찰,"9,000,000,000",67.2%,2021-04-12,2021_2Q,3
청주 2계 2019-1513,아파트,아파트,아파트,충북,청주시,충북 청주시 서원구 개신동 709 5층 508호,"82,000,000","52,480,000",낙찰,"57,500,000",70.1%,2021-04-12,2021_2Q,3
청주 6계 2019-1773(1),아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 102동 4층 401호","81,000,000","41,472,000",낙찰,"43,150,000",53.3%,2021-03-25,2021_1Q,3
청주 6계 2019-1773(8),아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 106동 7층 717호","70,000,000","35,840,000",낙찰,"37,050,000",52.9%,2021-03-25,2021_1Q,3
청주 6계 2019-1773(9),아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 106동 7층 726호","44,000,000","22,528,000",낙찰,"23,028,000",52.3%,2021-03-25,2021_1Q,3
청주 6계 2019-2042(4),아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 105동 6층 603호","40,000,000","13,107,000",낙찰,"13,721,000",34.3%,2021-03-25,2021_1Q,3
청주 6계 2019-2042(5),아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 105동 9층 903호","40,000,000","13,107,000",낙찰,"13,721,000",34.3%,2021-03-25,2021_1Q,3
청주 6계 2019-2042(6),아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 105동 9층 920호","48,000,000","15,729,000",낙찰,"15,980,000",33.3%,2021-03-25,2021_1Q,3
청주 6계 2019-2042(7),아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 106동 6층 619호","48,000,000","15,729,000",낙찰,"16,019,000",33.4%,2021-03-25,2021_1Q,3
청주 6계 2019-2042(8),아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 106동 10층 1020호","48,000,000","15,729,000",낙찰,"21,790,000",45.4%,2021-03-25,2021_1Q,3
청주 6계 2019-2479,아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 105동 2층 226호","40,000,000","10,486,000",낙찰,"15,599,000",39.0%,2021-03-25,2021_1Q,3
청주 4계 2019-3007(1),아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 102동 2층 207호","79,000,000","32,358,000",낙찰,"33,200,000",42.0%,2021-05-14,2021_2Q,3
청주 4계 2019-3007(2),아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 102동 4층 408호","81,000,000","33,178,000",낙찰,"38,330,000",47.3%,2021-05-14,2021_2Q,3
청주 4계 2019-3007(4),아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 105동 3층 320호","44,000,000","14,418,000",낙찰,"14,521,000",33.0%,2021-06-18,2021_2Q,3
청주 6계 2019-3021(3),근린상가,근린상가,근린상가,충북,청주시,"충북 청주시 상당구 남문로2가 81 ,78-11,-12 A.P.M 4층 67호","26,000,000","2,792,000",낙찰,"2,833,300",10.9%,2021-04-29,2021_2Q,3
청주 6계 2019-3021(4),근린상가,근린상가,근린상가,충북,청주시,"충북 청주시 상당구 남문로2가 81 ,78-11,-12 A.P.M 2층 14호","78,000,000","8,375,000",낙찰,"8,401,000",10.8%,2021-04-29,2021_2Q,3
청주 1계 2019-8194,근린상가,근린상가,근린상가,충북,청주시,"충북 청주시 상당구 남문로2가 81 ,78-11,-12 에이.피.엠 2층 30호","34,000,000","2,920,000",낙찰,"2,920,000",8.6%,2021-05-03,2021_2Q,3
청주 4계 2019-10180,아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 103동 13층 1306호","78,000,000","49,920,000",낙찰,"53,000,000",67.9%,2021-04-09,2021_2Q,3
청주 2계 2019-10265(1),공장,공장(지식산업센터 업무시설),공장,충북,진천군,"충북 진천군 이월면 신월리 85 ,83,84 가동","1,205,622,600","1,205,622,600",낙찰,"1,212,880,000",100.6%,2021-06-21,2021_2Q,3
청주 3계 2019-10821,다가구,다가구,다가구,충북,청주시,"충북 청주시 청원구 내덕동 164-61 ,167-32","703,526,400","288,165,000",낙찰,"301,000,000",42.8%,2021-03-26,2021_1Q,3
청주 2계 2019-12490(1),도로,기타토지,기타토지,충북,청주시,충북 청주시 상당구 수동 427-14,"9,854,000","2,583,000",낙찰,"4,000,000",40.6%,2021-04-12,2021_2Q,3
청주 7계 2019-12629,아파트,아파트,아파트,충북,청주시,충북 청주시 청원구 율량동 1144 한울 301동 5층 516호,"70,000,000","9,395,000",낙찰,"9,395,000",13.4%,2021-05-13,2021_2Q,3
청주 3계 2019-12797(2),답,답,답,충북,괴산군,충북 괴산군 문광면 광덕리 596-1,"1,825,000","934,000",낙찰,"1,600,000",87.7%,2021-04-30,2021_2Q,3
청주 2계 2019-13059(1),답,답,답,충북,청주시,충북 청주시 상당구 가덕면 금거리 101,"100,412,000","64,264,000",낙찰,"83,899,000",83.6%,2021-04-12,2021_2Q,3
청주 2계 2019-13134(3),차량,기타토지,기타토지,충북,청주시,충북 청주시 서원구 장성동 50-1 내 보관,"2,500,000","655,000",낙찰,"708,200",28.3%,2021-05-17,2021_2Q,3
청주 2계 2019-13134(7),차량,기타토지,기타토지,충북,청주시,충북 청주시 서원구 장성동 70 대원보관소내 보관,"3,500,000","1,147,000",낙찰,"1,456,999",41.6%,2021-04-12,2021_2Q,3
청주 1계 2019-13363,단독주택,단독,단독주택,충북,청주시,충북 청주시 서원구 사창동 251-32,"226,875,060","115,904,000",낙찰,"130,300,000",57.4%,2021-05-03,2021_2Q,3
청주 3계 2019-13974,아파트,아파트,아파트,충북,청주시,"충북 청주시 서원구 남이면 척북리 74-7 ,-9,-10,-13 삼포그린힐 103동 12층 1204호","80,000,000","40,960,000",낙찰,"52,799,000",66.0%,2021-06-04,2021_2Q,3
청주 6계 2019-14236,아파트,아파트,아파트,충북,청주시,충북 청주시 청원구 율량동 1292 율량신라 나열동 8층 808호,"85,200,000","27,918,000",낙찰,"28,110,000",33.0%,2021-03-25,2021_1Q,3
청주 1계 2019-14922,자동차시설,기타건물,기타건물,충북,청주시,충북 청주시 청원구 오창읍 양청리 787-5 호수프라자 2층 205호,"580,000,000","190,054,000",낙찰,"195,000,000",33.6%,2021-03-29,2021_1Q,3
청주 1계 2019-15000,아파트,아파트,아파트,충북,진천군,충북 진천군 광혜원면 광혜원리 192 정암 가동 6층 603호,"62,000,000","31,744,000",낙찰,"32,190,000",51.9%,2021-06-07,2021_2Q,3
청주 4계 2019-15024(2),답,답,답,충북,진천군,충북 진천군 광혜원면 구암리 500-3,"58,686,000","46,949,000",낙찰,"59,177,700",100.8%,2021-05-14,2021_2Q,3
청주 3계 2019-15062,단독주택,단독,단독주택,충북,청주시,충북 청주시 청원구 내수읍 은곡리 118,"670,833,150","429,334,000",낙찰,"501,110,000",74.7%,2021-03-26,2021_1Q,3
청주 1계 2019-50010,공장,공장(지식산업센터 업무시설),공장,충북,청주시,충북 청주시 흥덕구 옥산면 호죽리 925,"3,425,499,120","2,194,223,000",낙찰,"2,538,500,000",74.1%,2021-05-03,2021_2Q,3
청주 1계 2019-52122,대지,나대지,나대지,충북,청주시,충북 청주시 상당구 영운동 169-13,"271,733,000","271,733,000",낙찰,"350,000,000",128.8%,2021-05-03,2021_2Q,3
청주 1계 2019-56131,아파트,아파트,아파트,충북,청주시,충북 청주시 흥덕구 신봉동 159 삼성 7동 14층 1404호,"138,000,000","110,400,000",낙찰,"134,210,000",97.3%,2021-05-03,2021_2Q,3
청주 5계 2019-56339(5),공장용지,공장(지식산업센터 업무시설),공장,충북,괴산군,충북 괴산군 청안면 문방리 600-2,"6,475,000","2,122,000",낙찰,"2,678,500",41.4%,2021-05-26,2021_2Q,3
청주 7계 2019-56407,단독주택,단독,단독주택,충북,진천군,충북 진천군 문백면 옥성리 531-7,"93,995,440","38,501,000",낙찰,"39,370,000",41.9%,2021-06-17,2021_2Q,3
청주 3계 2020-226,임야,임야,임야,충북,진천군,충북 진천군 덕산읍 용몽리 220-18,"1,084,572,000","694,126,000",낙찰,"777,777,777",71.7%,2021-03-26,2021_1Q,3
청주 5계 2020-943,아파트,아파트,아파트,충북,청주시,"충북 청주시 청원구 내수읍 마산리 5-5 ,6,-4,7-3,8-5 진흥2차 205동 6층 604호","73,000,000","29,901,000",낙찰,"31,531,000",43.2%,2021-04-14,2021_2Q,3
청주 6계 2020-2284,다가구,다가구,다가구,충북,청주시,충북 청주시 상당구 용암동 607-3,"532,147,100","272,459,000",낙찰,"289,366,000",54.4%,2021-03-25,2021_1Q,3
청주 2계 2020-2482,아파트,아파트,아파트,충북,청주시,충북 청주시 서원구 수곡동 60-1 세원 102동 1층 108호,"81,000,000","41,472,000",낙찰,"46,750,000",57.7%,2021-04-12,2021_2Q,3
청주 2계 2020-2505(2),답,답,답,충북,청주시,충북 청주시 상당구 금천동 194-14,"10,701,000","3,506,000",낙찰,"3,840,000",35.9%,2021-05-17,2021_2Q,3
청주 2계 2020-2505(3),대지,나대지,나대지,충북,청주시,충북 청주시 상당구 금천동 122-11,"67,306,000","17,644,000",낙찰,"21,100,001",31.3%,2021-06-21,2021_2Q,3
청주 2계 2020-2505(4),도로,기타토지,기타토지,충북,청주시,충북 청주시 청원구 우암동 54-9,"41,930,000","13,739,000",낙찰,"16,815,320",40.1%,2021-05-17,2021_2Q,3
청주 6계 2020-2871,연립,연립주택,연립·빌라,충북,청주시,충북 청주시 상당구 남일면 송암리 416 송암해든마루 주2동 3층 301호,"193,000,000","79,053,000",낙찰,"91,000,000",47.2%,2021-03-25,2021_1Q,3
청주 2계 2020-2895,연립,연립주택,연립·빌라,충북,청주시,충북 청주시 상당구 남일면 송암리 416 송암해든마루 주1동 2층 201호,"193,000,000","123,520,000",낙찰,"127,799,000",66.2%,2021-04-12,2021_2Q,3
청주 6계 2020-3010,단독주택,단독,단독주택,충북,청주시,충북 청주시 흥덕구 오송읍 오송리 66-3,"18,939,540","9,698,000",낙찰,"12,233,000",64.6%,2021-04-29,2021_2Q,3
청주 7계 2020-3270,근린상가,근린상가,근린상가,충북,청주시,"충북 청주시 서원구 사직동 265-36 ,265-35 2층 201호","1,164,000,000","595,968,000",낙찰,"619,110,000",53.2%,2021-04-08,2021_2Q,3
청주 7계 2020-3324,임야,임야,임야,충북,청주시,충북 청주시 상당구 남일면 송암리 산77-46,"46,852,000","46,852,000",낙찰,"56,500,000",120.6%,2021-06-17,2021_2Q,3
청주 3계 2020-3348,답,답,답,충북,청주시,충북 청주시 청원구 내수읍 덕암리 483,"423,842,000","217,007,000",낙찰,"289,000,000",68.2%,2021-03-26,2021_1Q,3
청주 3계 2020-3485(1),전,전,전,충북,청주시,충북 청주시 청원구 내수읍 내수리 165-3,"35,112,000","28,090,000",낙찰,"35,112,000",100.0%,2021-03-26,2021_1Q,3
청주 3계 2020-3485(2),전,전,전,충북,청주시,충북 청주시 청원구 내수읍 내수리 189-14,"309,002,000","247,202,000",낙찰,"309,002,000",100.0%,2021-03-26,2021_1Q,3
청주 3계 2020-3485(3),답,답,답,충북,청주시,충북 청주시 청원구 내수읍 내수리 428,"47,307,500","37,846,000",낙찰,"48,399,000",102.3%,2021-03-26,2021_1Q,3
청주 3계 2020-3485(4),답,답,답,충북,청주시,충북 청주시 청원구 내수읍 내수리 440-2,"723,398,000","578,718,000",낙찰,"723,398,000",100.0%,2021-03-26,2021_1Q,3
청주 3계 2020-3485(5),전,전,전,충북,청주시,충북 청주시 청원구 내수읍 내수리 161-1,"241,020,000","192,816,000",낙찰,"241,020,000",100.0%,2021-03-26,2021_1Q,3
청주 3계 2020-3553,임야,임야,임야,충북,청주시,충북 청주시 상당구 낭성면 인경리 산83-1,"630,271,000","322,699,000",낙찰,"325,000,000",51.6%,2021-03-26,2021_1Q,3
청주 1계 2020-3621,임야,임야,임야,충북,괴산군,충북 괴산군 소수면 수리 산41-1,"4,120,922,000","2,109,912,000",낙찰,"3,000,000,000",72.8%,2021-03-29,2021_1Q,3
청주 7계 2020-3768,숙박시설,숙박시설,숙박시설,충북,보은군,충북 보은군 수한면 발산리 145-1,"682,481,900","349,431,000",낙찰,"355,100,000",52.0%,2021-06-17,2021_2Q,3
청주 1계 2020-3881,아파트,아파트,아파트,충북,청주시,충북 청주시 청원구 율량동 1292 율량신라 가열동 12층 1206호,"86,000,000","28,181,000",낙찰,"32,310,000",37.6%,2021-06-07,2021_2Q,3
청주 6계 2020-4105,답,답,답,충북,진천군,충북 진천군 진천읍 사석리 280,"137,670,000","88,109,000",낙찰,"131,100,111",95.2%,2021-04-29,2021_2Q,3
청주 6계 2020-4280,전,전,전,충북,괴산군,충북 괴산군 소수면 아성리 731-7,"191,840,000","122,778,000",낙찰,"132,500,000",69.1%,2021-03-25,2021_1Q,3
청주 4계 2020-4310(1),대지,나대지,나대지,충북,진천군,충북 진천군 백곡면 성대리 1298,"128,802,900","65,947,000",낙찰,"87,000,000",67.5%,2021-04-09,2021_2Q,3
청주 4계 2020-4310(2),답,답,답,충북,진천군,충북 진천군 백곡면 성대리 1420,"75,839,700","38,830,000",낙찰,"45,000,000",59.3%,2021-04-09,2021_2Q,3
청주 6계 2020-4341,전,전,전,충북,진천군,충북 진천군 문백면 사양리 100-2,"6,255,000","5,004,000",낙찰,"5,004,000",80.0%,2021-03-25,2021_1Q,3
청주 7계 2020-4358,공장,공장(지식산업센터 업무시설),공장,충북,청주시,"충북 청주시 청원구 내수읍 원통리 400-11 ,산95 1동","940,560,240","752,448,000",낙찰,"983,899,000",104.6%,2021-06-17,2021_2Q,3
청주 3계 2020-4426,근린상가,근린상가,근린상가,충북,청주시,충북 청주시 상당구 금천동 54-13 금천동정원쉐르빌 101동 1층 101호,"247,000,000","158,080,000",낙찰,"187,040,000",75.7%,2021-03-26,2021_1Q,3
청주 6계 2020-4471(2),대지,나대지,나대지,충북,청주시,충북 청주시 청원구 내수읍 세교리 60-2,"37,488,000","37,488,000",낙찰,"50,110,000",133.7%,2021-03-25,2021_1Q,3
