지역,대분류,용도,LTV,3M (평균/건수) | Gap≥10%(평균/건수),6M (평균/건수) | Gap≥10%(평균/건수),12M (평균/건수) | Gap≥10%(평균/건수),3년 (평균/건수) | Gap≥10%(평균/건수),5년 (평균/건수) | Gap≥10%(평균/건수),최대Gap,미검출 사유
광주,토지,나대지,75,55.5% (15건) | 48.1% (11건),55.3% (20건) | 49.0% (15건),55.3% (30건) | 49.8% (23건),68.0% (69건) | 63.0% (40건),76.6% (98건) | 77.7% (98건),19.7%p,일관된 추세 없음
광주,토지,기타토지,50,78.3% (67건) | 80.1% (62건),78.5% (115건) | 80.7% (105건),77.4% (204건) | 80.1% (182건),77.7% (532건) | 82.2% (452건),80.5% (866건) | 85.2% (866건),28.5%p,일관된 추세 없음
광주,건물,병원,50,24.1% (11건) | 24.1% (11건),24.1% (11건) | 24.1% (11건),24.1% (11건) | 24.1% (11건),28.3% (13건) | 28.3% (13건),39.9% (15건) | 39.9% (15건),25.9%p,일관된 추세 없음
광주,토지,임야,65,52.8% (10건) | 44.3% (6건),50.2% (13건) | 43.4% (9건),52.8% (22건) | 47.1% (14건),59.6% (54건) | 58.6% (40건),71.2% (94건) | 73.9% (94건),14.8%p,일관된 추세 없음
서울,주택,아파트,80,93.5% (199건) | 97.5% (142건),90.9% (487건) | 94.3% (340건),91.4% (1106건) | 95.0% (765건),87.9% (3165건) | 92.6% (1758건),89.0% (3692건) | 94.3% (3692건),13.5%p,일관된 추세 없음
서울,건물,공장(지식산업센터 업무시설),75,61.4% (36건) | 56.3% (26건),58.2% (74건) | 52.5% (53건),58.4% (97건) | 52.9% (70건),64.7% (176건) | 58.8% (105건),77.2% (251건) | 78.7% (251건),16.8%p,일관된 추세 없음
서울,토지,전,75,43.2% (2건) | 43.2% (2건),49.9% (4건) | 49.9% (4건),47.7% (6건) | 47.7% (6건),67.8% (27건) | 63.1% (20건),76.8% (45건) | 75.6% (45건),31.8%p,일관된 추세 없음
부산,주택,단독,65,45.1% (24건) | 40.6% (19건),48.2% (50건) | 44.9% (40건),46.4% (112건) | 42.0% (88건),54.2% (347건) | 50.1% (247건),67.9% (581건) | 69.2% (581건),19.9%p,일관된 추세 없음
부산,주택,다세대주택,75,53.4% (185건) | 47.0% (138건),48.2% (442건) | 44.2% (380건),49.6% (840건) | 46.1% (731건),52.3% (1438건) | 47.9% (1189건),59.5% (2060건) | 55.5% (2060건),26.8%p,일관된 추세 없음
부산,토지,임야,50,34.6% (14건) | 29.3% (10건),34.0% (32건) | 29.5% (25건),32.3% (65건) | 28.0% (51건),39.7% (135건) | 37.1% (102건),49.6% (260건) | 49.8% (260건),17.7%p,일관된 추세 없음
부산,토지,기타토지,50,68.3% (76건) | 71.7% (65건),71.0% (148건) | 74.1% (129건),70.3% (360건) | 74.3% (296건),69.2% (1145건) | 75.5% (838건),74.2% (1881건) | 80.0% (1881건),21.0%p,일관된 추세 없음
부산,건물,근린상가,60,45.4% (65건) | 41.8% (49건),43.3% (112건) | 38.7% (85건),46.0% (229건) | 42.4% (177건),48.5% (491건) | 44.3% (353건),55.8% (678건) | 54.2% (678건),16.7%p,일관된 추세 없음
부산,토지,전,70,39.5% (3건) | 39.5% (3건),48.0% (9건) | 48.0% (9건),44.6% (23건) | 43.5% (22건),58.4% (57건) | 56.3% (47건),68.4% (97건) | 68.4% (97건),30.5%p,일관된 추세 없음
