사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
춘천 1계 2019-2984,전,전,전,강원,춘천시,강원 춘천시 동면 품걸리 91,"304,866,000","213,406,000",낙찰,"230,220,000",75.5%,2021-05-31,2021_2Q,3
춘천 3계 2019-5068(5),전,전,전,강원,홍천군,강원 홍천군 서면 마곡리 245-1,"92,953,840","22,319,000",낙찰,"28,999,900",31.2%,2021-06-07,2021_2Q,3
춘천 3계 2019-5068(6),대지,나대지,나대지,강원,홍천군,강원 홍천군 서면 마곡리 151-2,"928,060","455,000",낙찰,"550,000",59.3%,2021-06-07,2021_2Q,3
춘천 4계 2019-5211(1),창고,기타건물,창고,강원,양구군,강원 양구군 해안면 오유리 543-1 1동,"552,902,260","270,922,000",낙찰,"300,000,000",54.3%,2021-06-28,2021_2Q,3
춘천 4계 2019-5211(2),단독주택,단독,단독주택,강원,인제군,강원 인제군 인제읍 합강리 64-4,"136,732,200","136,732,200",낙찰,"174,732,200",127.8%,2021-05-24,2021_2Q,3
춘천 4계 2019-5891(1),단독주택,단독,단독주택,강원,홍천군,"강원 홍천군 화촌면 구성포리 1569-3 ,1569,-9 3호","618,273,430","302,954,000",낙찰,"410,000,000",66.3%,2021-05-24,2021_2Q,3
춘천 2계 2019-55681,전,전,전,강원,홍천군,강원 홍천군 서면 팔봉리 865-1,"159,146,000","159,146,000",낙찰,"215,200,000",135.2%,2021-06-21,2021_2Q,3
춘천 4계 2019-56301,다세대,다세대주택,다세대,강원,홍천군,강원 홍천군 홍천읍 희망리 354-104 세종빌라 4층 401호,"637,000,000","312,130,000",낙찰,"350,110,000",55.0%,2021-06-28,2021_2Q,3
춘천 1계 2020-922,전,전,전,강원,춘천시,강원 춘천시 신동면 혈동리 277,"5,043,226,000","1,210,879,000",낙찰,"1,220,000,000",24.2%,2021-05-31,2021_2Q,3
춘천 2계 2020-1550,단독주택,단독,단독주택,강원,춘천시,강원 춘천시 북산면 청평리 486-3,"1,103,691,860","378,566,000",낙찰,"542,890,000",49.2%,2021-06-21,2021_2Q,3
춘천 4계 2020-1932(2),답,답,답,강원,화천군,강원 화천군 화천읍 풍산리 268-1,"20,742,000","14,519,000",낙찰,"16,210,000",78.2%,2021-05-24,2021_2Q,3
춘천 4계 2020-2096,전,전,전,강원,화천군,강원 화천군 사내면 광덕리 812,"20,079,900","4,821,000",낙찰,"6,225,000",31.0%,2021-06-28,2021_2Q,3
춘천 2계 2020-2393,전,전,전,강원,홍천군,강원 홍천군 두촌면 원동리 94-1,"111,925,000","38,391,000",낙찰,"55,100,000",49.2%,2021-05-17,2021_2Q,3
춘천 2계 2020-2515(1),전,전,전,강원,홍천군,강원 홍천군 두촌면 철정리 289-1,"566,182,000","277,429,000",낙찰,"352,119,000",62.2%,2021-06-21,2021_2Q,3
춘천 2계 2020-2515(2),답,답,답,강원,홍천군,강원 홍천군 두촌면 철정리 1248-2,"123,032,000","86,122,000",낙찰,"110,032,010",89.4%,2021-05-17,2021_2Q,3
춘천 2계 2020-2515(3),전,전,전,강원,홍천군,강원 홍천군 두촌면 철정리 316,"140,307,000","68,751,000",낙찰,"99,310,000",70.8%,2021-06-21,2021_2Q,3
춘천 4계 2020-2577(2),아파트,아파트,아파트,강원,홍천군,강원 홍천군 홍천읍 연봉리 174 로하스카운티 4층 401호,"212,000,000","103,880,000",낙찰,"137,770,000",65.0%,2021-05-24,2021_2Q,3
춘천 4계 2020-2577(9),아파트,아파트,아파트,강원,홍천군,강원 홍천군 홍천읍 연봉리 174 로하스카운티 8층 802호,"199,000,000","97,510,000",낙찰,"102,770,000",51.6%,2021-05-24,2021_2Q,3
춘천 2계 2020-2591,답,답,답,강원,춘천시,강원 춘천시 서면 금산리 637-16,"175,030,000","122,521,000",낙찰,"137,770,000",78.7%,2021-06-21,2021_2Q,3
춘천 2계 2020-2676,답,답,답,강원,홍천군,강원 홍천군 서면 대곡리 223,"153,920,000","75,421,000",낙찰,"120,200,000",78.1%,2021-06-21,2021_2Q,3
춘천 3계 2020-2805,아파트,아파트,아파트,강원,춘천시,강원 춘천시 후평동 93-53 개나리 2동 3층 307호,"70,000,000","49,000,000",낙찰,"51,756,000",73.9%,2021-06-07,2021_2Q,3
춘천 3계 2020-2843,임야,임야,임야,강원,춘천시,강원 춘천시 서면 덕두원리 산44-1,"265,062,000","265,062,000",낙찰,"307,770,000",116.1%,2021-06-07,2021_2Q,3
춘천 2계 2020-2911,임야,임야,임야,강원,춘천시,강원 춘천시 남면 추곡리 산135,"180,987,500","88,684,000",낙찰,"90,000,000",49.7%,2021-05-17,2021_2Q,3
춘천 4계 2020-2997,임야,임야,임야,강원,춘천시,강원 춘천시 남산면 광판리 산82,"173,754,600","85,140,000",낙찰,"95,000,000",54.7%,2021-05-24,2021_2Q,3
춘천 4계 2020-3013,근린주택,근린주택,근린주택,강원,춘천시,"강원 춘천시 동면 만천리 340-4 ,-19","921,332,100","644,932,000",낙찰,"750,000,000",81.4%,2021-06-28,2021_2Q,3
춘천 2계 2020-3105,단독주택,단독,단독주택,강원,인제군,강원 인제군 인제읍 가리산리 92-8,"106,717,720","106,717,720",낙찰,"116,300,000",109.0%,2021-05-17,2021_2Q,3
춘천 2계 2020-3143(2),아파트상가,아파트상가,근린상가,강원,춘천시,강원 춘천시 석사동 727-4 두산 상가동 지하층 B06호,"22,000,000","7,546,000",낙찰,"7,660,000",34.8%,2021-06-21,2021_2Q,3
춘천 2계 2020-3150,답,답,답,강원,인제군,강원 인제군 상남면 하남리 254,"67,048,000","32,854,000",낙찰,"42,300,000",63.1%,2021-05-17,2021_2Q,3
춘천 3계 2020-3167,임야,임야,임야,강원,홍천군,강원 홍천군 서면 팔봉리 산216-2,"1,831,641,600","897,504,000",낙찰,"1,006,900,000",55.0%,2021-06-07,2021_2Q,3
춘천 4계 2020-3211,아파트,아파트,아파트,강원,양구군,"강원 양구군 양구읍 중리 1 ,-1,-6 우신임대 1,2층","40,000,000","28,000,000",낙찰,"28,000,000",70.0%,2021-05-24,2021_2Q,3
춘천 4계 2020-3297,임야,임야,임야,강원,춘천시,강원 춘천시 삼천동 299-22,"6,764,000","3,315,000",낙찰,"3,321,000",49.1%,2021-05-24,2021_2Q,3
춘천 2계 2020-3310,임야,임야,임야,강원,춘천시,강원 춘천시 후평동 114-37,"11,224,000","5,500,000",낙찰,"5,820,000",51.9%,2021-06-21,2021_2Q,3
춘천 4계 2020-3426,아파트,아파트,아파트,강원,춘천시,강원 춘천시 후평동 885-1 세경4차 408동 2층 202호,"83,000,000","40,670,000",낙찰,"75,000,000",90.4%,2021-06-28,2021_2Q,3
춘천 4계 2020-3495,유지,기타토지,기타토지,강원,춘천시,강원 춘천시 서면 신매리 38-5,"211,949,000","211,949,000",낙찰,"232,059,000",109.5%,2021-05-24,2021_2Q,3
춘천 4계 2020-3532,전,전,전,강원,홍천군,강원 홍천군 서석면 수하리 679,"531,370,000","371,959,000",낙찰,"381,960,000",71.9%,2021-06-28,2021_2Q,3
춘천 4계 2020-3570,아파트,아파트,아파트,강원,홍천군,강원 홍천군 홍천읍 연봉리 497 연봉아이파크 105동 6층 601호,"262,000,000","183,400,000",낙찰,"242,570,000",92.6%,2021-05-24,2021_2Q,3
춘천 2계 2020-3655(1),전,전,전,강원,인제군,강원 인제군 북면 한계리 273,"77,443,400","54,210,000",낙찰,"71,300,000",92.1%,2021-06-21,2021_2Q,3
춘천 2계 2020-3655(2),단독주택,단독,단독주택,강원,인제군,강원 인제군 북면 한계리 244,"179,317,500","125,522,000",낙찰,"141,951,000",79.2%,2021-06-21,2021_2Q,3
