사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
부천 4계 2017-3760(1),임야,임야,임야,경기,김포시,경기 김포시 월곶면 군하리 429-29,"1,504,454,000","737,183,000",낙찰,"1,151,000,000",76.50%,2021-06-03,2021_2Q,3
부천 4계 2017-5780,대지,나대지,나대지,경기,김포시,경기 김포시 통진읍 도사리 727-15,"2,767,144,000","1,355,901,000",낙찰,"1,700,000,000",61.40%,2021-06-03,2021_2Q,3
부천 4계 2017-60824,다세대,다세대주택,다세대,경기,부천시,경기 부천시 소사구 소사본동 61 영진맨션 2층 201호,"88,000,000","61,600,000",낙찰,"82,100,000",93.30%,2021-06-03,2021_2Q,3
부천 8계 2018-11126,공장,공장(지식산업센터 업무시설),공장,경기,김포시,경기 김포시 통진읍 가현리 651-3 가동,"6,552,051,680","4,586,436,000",낙찰,"6,153,000,000",93.90%,2021-06-17,2021_2Q,3
부천 2계 2018-73872,공장,공장(지식산업센터 업무시설),공장,경기,김포시,경기 김포시 월곶면 개곡리 812-23 1동,"2,680,711,000","1,876,498,000",낙찰,"2,516,000,000",93.90%,2021-06-22,2021_2Q,3
부천 4계 2019-3221,다세대,다세대주택,다세대,경기,부천시,경기 부천시 원미구 역곡동 214-9 효성하이츠빌 3층 301호,"185,000,000","129,500,000",낙찰,"182,000,000",98.40%,2021-06-03,2021_2Q,3
부천 3계 2019-8615,다세대,다세대주택,다세대,경기,부천시,경기 부천시 오정구 고강동 393-14 거성탑스빌 지층 101호,"73,000,000","25,039,000",낙찰,"40,459,999",55.40%,2021-06-01,2021_2Q,3
부천 8계 2019-10069,공장,공장(지식산업센터 업무시설),공장,경기,김포시,경기 김포시 대곶면 석정리 47,"926,310,000","648,417,000",낙찰,"711,650,000",76.80%,2021-05-13,2021_2Q,3
부천 8계 2019-36115,아파트,아파트,아파트,경기,김포시,경기 김포시 장기동 2193 한강센트럴자이1단지 121동 20층 2002호,"410,000,000","410,000,000",낙찰,"553,333,300",135.00%,2021-05-13,2021_2Q,3
부천 2계 2019-36269,아파트,아파트,아파트,경기,부천시,경기 부천시 원미구 상동 397 반달마을 1819동 5층 501호,"223,000,000","53,542,000",낙찰,"85,090,000",38.20%,2021-05-18,2021_2Q,3
부천 8계 2020-1658,다세대,다세대주택,다세대,경기,부천시,경기 부천시 원미구 역곡동 18-19 공존펠리체 5층 501호,"236,000,000","165,200,000",낙찰,"217,560,000",92.20%,2021-05-13,2021_2Q,3
부천 2계 2020-1689,다세대,다세대주택,다세대,경기,부천시,"경기 부천시 오정구 오정동 112-3 ,-5 디에스미소가1차 3층 302호","183,000,000","128,100,000",낙찰,"143,929,000",78.60%,2021-06-22,2021_2Q,3
부천 8계 2020-2200,아파트,아파트,아파트,경기,김포시,경기 김포시 북변동 904 동변마을 동양파라곤2차 203동 5층 503호,"301,000,000","301,000,000",낙찰,"378,999,500",125.90%,2021-05-13,2021_2Q,3
부천 1계 2020-2323,공장,공장(지식산업센터 업무시설),공장,경기,김포시,경기 김포시 대곶면 초원지리 600-12 가동,"505,956,740","354,170,000",낙찰,"582,222,000",115.10%,2021-05-25,2021_2Q,3
부천 3계 2020-2354,다세대,다세대주택,다세대,경기,부천시,경기 부천시 원미구 도당동 116-1 주신빌라 C동 2층 201호,"119,000,000","83,300,000",낙찰,"87,260,000",73.30%,2021-06-01,2021_2Q,3
부천 8계 2020-2712(1),아파트상가,아파트상가,근린상가,경기,김포시,경기 김포시 마산동 616-3 한강신도시레이크에일린의뜰 상가동 1층 115호,"340,000,000","166,600,000",낙찰,"179,510,000",52.80%,2021-06-17,2021_2Q,3
