사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
대구 9계 2019-9668,아파트,아파트,아파트,경북,경산시,경북 경산시 백천동 571-2 경산백천월드메르디앙 111동 9층 907호,"148,000,000","103,600,000",낙찰,"125,550,000",84.8%,2021-04-23,2021_2Q,3
대구 8계 2019-10545,답,답,답,경북,칠곡군,경북 칠곡군 동명면 학명리 87,"67,362,000","67,362,000",낙찰,"70,000,000",103.9%,2021-04-22,2021_2Q,3
대구 9계 2019-14196,답,답,답,경북,영천시,경북 영천시 괴연동 466,"454,885,000","222,894,000",낙찰,"234,100,000",51.5%,2021-03-24,2021_1Q,3
대구 1계 2019-14561,숙박시설,숙박시설,숙박시설,경북,칠곡군,경북 칠곡군 동명면 기성리 661 1동,"3,908,717,600","1,915,271,000",낙찰,"2,480,000,000",63.4%,2021-04-20,2021_2Q,3
대구 2계 2019-14578,공장,공장(지식산업센터 업무시설),공장,경북,칠곡군,경북 칠곡군 왜관읍 금산리 979-3,"2,329,416,770","1,630,592,000",낙찰,"1,650,001,000",70.8%,2021-04-19,2021_2Q,3
대구 4계 2019-14950,종교시설,기타건물,기타건물,경북,영천시,경북 영천시 화남면 죽곡리 1092,"309,858,680","151,831,000",낙찰,"176,262,620",56.9%,2021-03-26,2021_1Q,3
대구 7계 2019-15151,아파트,아파트,아파트,경북,경산시,경북 경산시 옥산동 725-2 옥산신화평광타운 202동 11층 1105호,"230,000,000","230,000,000",낙찰,"230,120,000",100.1%,2021-05-17,2021_2Q,3
대구 5계 2019-15915,차량,기타토지,기타토지,경북,영천시,경북 영천시 작산동 258 채권자 한국캐피탈(주)에게 보관,"70,000,000","16,807,000",낙찰,"17,000,000",24.3%,2021-04-16,2021_2Q,3
대구 8계 2019-16307,임야,임야,임야,경북,칠곡군,경북 칠곡군 동명면 학명리 산32,"17,771,600","6,096,000",낙찰,"6,580,000",37.0%,2021-04-22,2021_2Q,3
대구 9계 2019-16314,단독주택,단독,단독주택,경북,청도군,경북 청도군 금천면 박곡리 1041-34,"474,139,540","232,329,000",낙찰,"334,630,000",70.6%,2021-04-23,2021_2Q,3
대구 6계 2019-16376(1),전,전,전,경북,청도군,경북 청도군 운문면 공암리 894,"30,306,000","21,214,000",낙찰,"22,100,000",72.9%,2021-04-15,2021_2Q,3
대구 8계 2019-16574(1),전,전,전,경북,칠곡군,경북 칠곡군 지천면 덕산리 151,"20,468,000","14,328,000",낙찰,"14,330,000",70.0%,2021-04-22,2021_2Q,3
대구 8계 2019-16574(2),답,답,답,경북,칠곡군,경북 칠곡군 지천면 덕산리 367-4,"4,664,000","1,120,000",낙찰,"2,200,000",47.2%,2021-05-27,2021_2Q,3
대구 5계 2019-16635,전,전,전,경북,영천시,경북 영천시 고경면 논실리 205-1,"24,637,600","12,072,000",낙찰,"13,500,000",54.8%,2021-04-16,2021_2Q,3
대구 8계 2019-16901(1),목장용지,기타토지,목장용지,경북,경산시,경북 경산시 용성면 내촌리 231-2,"440,960,000","216,070,000",낙찰,"240,000,000",54.4%,2021-04-22,2021_2Q,3
대구 1계 2019-17058,점포,근린상가,점포상가,경북,영천시,경북 영천시 고경면 도암리 282,"225,197,500","110,347,000",낙찰,"161,889,900",71.9%,2021-06-17,2021_2Q,3
대구 6계 2019-103027,공장,공장(지식산업센터 업무시설),공장,경북,영천시,"경북 영천시 대창면 구지리 1062-2 ,1063-1","911,562,600","638,094,000",낙찰,"651,000,000",71.4%,2021-04-15,2021_2Q,3
대구 9계 2019-103409(1),임야,임야,임야,경북,영천시,경북 영천시 고경면 삼산리 산1-3,"228,403,400","159,882,000",낙찰,"180,100,000",78.9%,2021-06-25,2021_2Q,3
대구 4계 2019-107463(4),답,답,답,경북,칠곡군,경북 칠곡군 기산면 평복리 93,"564,692,000","564,692,000",낙찰,"570,020,000",100.9%,2021-06-16,2021_2Q,3
대구 3계 2019-113253,임야,임야,임야,경북,경산시,경북 경산시 남천면 구일리 산3,"342,842,400","82,317,000",낙찰,"85,000,000",24.8%,2021-03-25,2021_1Q,3
대구 3계 2019-113338,공장,공장(지식산업센터 업무시설),공장,경북,영천시,경북 영천시 청통면 보성리 569,"851,543,800","417,257,000",낙찰,"560,000,000",65.8%,2021-03-25,2021_1Q,3
