사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
광주 1계 2024-7107,아파트형공장,공장(지식산업센터 업무시설),공장,광주,광산구,광주 광산구 오선동 270-106 지식산업센터케이비아이하남 3층 비-305호,"330,000,000","118,272,000",낙찰,"123,000,000",37.3%,2026-02-11,2026_1Q,0
광주 7계 2024-8711,아파트,아파트,아파트,광주,광산구,광주 광산구 선암동 783 선운지구해광샹그릴라 103동 2층 205호,"305,000,000","213,500,000",낙찰,"232,110,000",76.1%,2026-02-13,2026_1Q,0
광주 1계 2024-74008,아파트,아파트,아파트,광주,남구,광주 남구 주월동 543-9 주월동마이다스빌 101동 14층 1406호,"114,000,000","10,710,573",낙찰,"12,100,000",10.6%,2026-02-11,2026_1Q,0
광주 1계 2024-81358(1),근린상가,근린상가,근린상가,광주,광산구,광주 광산구 도산동 773-4 1층 103호,"592,000,000","265,216,000",낙찰,"288,694,400",48.8%,2026-02-11,2026_1Q,0
광주 7계 2024-85930,아파트,아파트,아파트,광주,광산구,광주 광산구 송정동 731-1 송정크레지움센트럴 2층 201호,"227,000,000","65,086,000",낙찰,"65,086,000",28.7%,2026-02-13,2026_1Q,0
광주 7계 2024-86605(3),오피스텔,오피스텔,오피스텔(업무용),광주,북구,광주 북구 각화동 594 힐스테이트각화 115동 2층 201호,"195,000,000","87,360,000",낙찰,"91,900,000",47.1%,2026-02-13,2026_1Q,0
광주 7계 2025-1724,아파트형공장,공장(지식산업센터 업무시설),공장,광주,북구,광주 북구 연제동 1038-6 첨단리채비즈타워지식산업센터 15층 비-1503호,"693,000,000","310,464,000",낙찰,"450,000,000",64.9%,2026-02-13,2026_1Q,0
광주 1계 2025-2727,아파트,아파트,아파트,광주,남구,광주 남구 봉선동 985 라인광장 102동 7층 708호,"187,000,000","104,720,000",낙찰,"130,111,000",69.6%,2026-02-11,2026_1Q,0
광주 1계 2025-3560,대지,나대지,나대지,광주,광산구,광주 광산구 연산동 1226,"1,098,618,000","769,032,600",낙찰,"845,900,000",77.0%,2026-02-11,2026_1Q,0
광주 1계 2025-30265(3),답,답,답,광주,북구,광주 북구 충효동 67-5,"23,542,000","8,437,000",낙찰,"9,199,900",39.1%,2026-02-11,2026_1Q,0
광주 1계 2025-30265(4),답,답,답,광주,북구,광주 북구 충효동 293,"26,964,000","9,664,000",낙찰,"10,249,900",38.0%,2026-02-11,2026_1Q,0
광주 7계 2025-32075,주상복합(주거),기타토지,기타토지,광주,남구,광주 남구 봉선동 1158 봉선동한국아델리움57 5층 501호,"1,830,000,000","1,281,000,000",낙찰,"1,310,000,000",71.6%,2026-02-13,2026_1Q,0
광주 1계 2025-32271,아파트,아파트,아파트,광주,북구,광주 북구 용봉동 17-2 성산 1동 2층 206호,"175,000,000","78,400,000",낙찰,"101,190,000",57.8%,2026-02-11,2026_1Q,0
광주 1계 2025-32355,전,전,전,광주,남구,광주 남구 신장동 513,"103,800,000","46,502,400",낙찰,"48,100,000",46.3%,2026-02-11,2026_1Q,0
광주 7계 2025-32471,아파트,아파트,아파트,광주,북구,"광주 북구 용두동 330 ,308-5,309-3 양산타운 103동 2층 202호","138,000,000","96,600,000",낙찰,"131,999,900",95.7%,2026-02-13,2026_1Q,0
광주 1계 2025-32875,근린상가,근린상가,근린상가,광주,광산구,광주 광산구 수완동 727 가동 3층 301호,"454,000,000","317,800,000",낙찰,"333,333,000",73.4%,2026-02-11,2026_1Q,0
광주 7계 2025-32882,아파트,아파트,아파트,광주,광산구,광주 광산구 선암동 549 광주선운지구이지더원3단지 307동 11층 1101호,"349,000,000","244,300,000",낙찰,"334,408,289",95.8%,2026-02-13,2026_1Q,0
광주 7계 2025-32910,아파트,아파트,아파트,광주,광산구,"광주 광산구 장덕동 1593 ,1594 광주수완현진에버빌2단지 211동 3층 303호","396,000,000","277,200,000",낙찰,"378,900,000",95.7%,2026-02-13,2026_1Q,0
광주 7계 2025-33702,차량,기타토지,기타토지,광주,광산구,광주 광산구 우산동 218-5 제3자 서창다리주차장내 보관,"18,000,000","12,600,000",낙찰,"16,499,945",91.7%,2026-02-13,2026_1Q,0
광주 7계 2025-33970,차량,기타토지,기타토지,광주,광산구,광주 광산구 산정동 156 제3자 여대주차장내 보관,"30,000,000","21,000,000",낙찰,"28,910,000",96.4%,2026-02-13,2026_1Q,0
광주 5계 2023-8813(1),아파트상가,아파트상가,기타토지,광주,서구,"광주 서구 치평동 1330 ,마륵동 802 갤러리303 근린시설동 1층 106호","1,297,000,000","464,845,000",낙찰,"464,845,000",35.80%,2026-01-21,2026_1Q,1
광주 6계 2023-9878,근린상가,근린상가,근린상가,광주,서구,"광주 서구 화정동 23-147 ,23-247 메리앙혼수백화점 2층 205호","124,000,000","55,552,000",낙찰,"56,012,800",45.20%,2026-01-28,2026_1Q,0
광주 3계 2023-76809,오피스텔(주거),오피스텔,오피스텔(업무용),광주,동구,"광주 동구 금남로4가 79-1 ,충장로4가 7-3,7-14 로머스파크 13층 1305호","124,000,000","2,444,000",낙찰,"3,650,000",2.90%,2026-01-22,2026_1Q,1
광주 6계 2024-5538(3),오피스텔,오피스텔,오피스텔(업무용),광주,동구,"광주 동구 금남로4가 79-1 ,충장로4가 7-3,7-14 로머스파크주건축물 19층 1904호","336,000,000","150,528,000",낙찰,"157,888,900",47.00%,2026-01-28,2026_1Q,0
광주 6계 2024-5538(4),오피스텔,오피스텔,오피스텔(업무용),광주,동구,"광주 동구 금남로4가 79-1 ,충장로4가 7-3,7-14 로머스파크주건축물 22층 2204호","342,000,000","153,216,000",낙찰,"164,186,300",48.00%,2026-01-28,2026_1Q,0
광주 5계 2024-5767,전,전,전,광주,광산구,광주 광산구 북산동 594-2,"13,353,100","13,353,100",낙찰,"15,210,000",113.90%,2026-01-21,2026_1Q,1
광주 12계 2024-6999,단독주택,단독,단독주택,광주,동구,광주 동구 산수동 547-72,"971,470,640","544,024,000",낙찰,"583,000,000",60.00%,2026-01-23,2026_1Q,1
광주 3계 2024-7121(1),의료시설,병원,병원,광주,남구,광주 남구 행암동 711 2층 201호,"684,000,000","156,894,000",낙찰,"156,894,000",22.90%,2026-01-22,2026_1Q,1
광주 3계 2024-7121(2),의료시설,병원,병원,광주,남구,광주 남구 행암동 711 2층 202호,"255,000,000","58,492,000",낙찰,"58,492,000",22.90%,2026-01-22,2026_1Q,1
