사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
의성 2계 2024-301(2),단독주택,단독,단독주택,대구,군위군,대구 군위군 소보면 내의리 1242-3,"169,784,600","118,850,000",낙찰,"122,000,000",71.90%,2026-01-21,2026_1Q,0
대구 5계 2019-103362,아파트,아파트,아파트,대구,북구,대구 북구 침산동 133-1 침산리젠시 101동 4층 402호,"244,000,000","244,000,000",낙찰,"251,990,000",103.30%,2021-05-25,2021_2Q,3
대구 1계 2019-106217,아파트,아파트,아파트,대구,북구,대구 북구 칠성동2가 715 칠성휴먼시아 108동 2층 207호,"324,000,000","77,792,000",낙찰,"85,990,000",26.50%,2021-05-20,2021_2Q,3
대구 8계 2019-111332,공장,공장(지식산업센터 업무시설),공장,대구,북구,"대구 북구 노원동2가 189 ,-9,-10","866,941,400","606,859,000",낙찰,"824,219,000",95.10%,2021-06-24,2021_2Q,3
대구 8계 2019-112243(2),아파트,아파트,아파트,대구,동구,대구 동구 신천동 538-3 신천역까사밀라 101동 10층 1014호,"90,000,000","63,000,000",낙찰,"76,560,000",85.10%,2021-05-27,2021_2Q,3
대구 1계 2020-1110(4),아파트,아파트,아파트,대구,동구,대구 동구 신암동 348-1 동양블루스카이 8층 803호,"296,000,000","296,000,000",낙찰,"297,000,000",100.30%,2021-06-17,2021_2Q,3
대구 1계 2020-1110(5),아파트,아파트,아파트,대구,동구,대구 동구 신암동 348-1 동양블루스카이 12층 1203호,"299,000,000","299,000,000",낙찰,"301,340,000",100.80%,2021-06-17,2021_2Q,3
대구 1계 2020-1110(6),아파트,아파트,아파트,대구,동구,대구 동구 신암동 348-1 동양블루스카이 14층 1401호,"296,000,000","296,000,000",낙찰,"310,100,000",104.80%,2021-06-17,2021_2Q,3
대구 9계 2020-1509(1),근린상가,근린상가,근린상가,대구,북구,대구 북구 사수동 854 1층 101호,"423,000,000","145,089,000",낙찰,"207,270,000",49.00%,2021-06-25,2021_2Q,3
대구 9계 2020-1509(2),근린상가,근린상가,근린상가,대구,북구,대구 북구 사수동 854 1층 103호,"502,000,000","172,186,000",낙찰,"245,980,000",49.00%,2021-06-25,2021_2Q,3
대구 9계 2020-1509(3),근린상가,근린상가,근린상가,대구,북구,대구 북구 사수동 854 1층 104호,"344,000,000","117,992,000",낙찰,"168,560,000",49.00%,2021-06-25,2021_2Q,3
대구 9계 2020-1509(4),근린상가,근린상가,근린상가,대구,북구,대구 북구 사수동 854 2층 201호,"641,000,000","219,863,000",낙찰,"314,140,000",49.00%,2021-06-25,2021_2Q,3
대구 9계 2020-1509(5),근린상가,근린상가,근린상가,대구,북구,대구 북구 사수동 854 3층 301호,"236,000,000","80,948,000",낙찰,"115,640,000",49.00%,2021-06-25,2021_2Q,3
대구 9계 2020-1509(6),근린상가,근린상가,근린상가,대구,북구,대구 북구 사수동 854 3층 302호,"358,000,000","122,794,000",낙찰,"175,420,000",49.00%,2021-06-25,2021_2Q,3
