사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
부산 10계 2016-104974,오피스텔(주거),오피스텔,오피스텔(업무용),부산,부산진구,"부산 부산진구 양정동 129 ,480-30 오투스타워 2층 207호","36,000,000","1,979,000",낙찰,"2,044,400",5.70%,2021-05-26,2021_2Q,3
부산 4계 2017-3207,근린주택,근린주택,근린주택,부산,동래구,부산 동래구 온천동 1379-25,"980,476,000","980,476,000",낙찰,"991,285,000",101.10%,2021-05-27,2021_2Q,3
부산 4계 2018-4115,오피스텔(주거),오피스텔,오피스텔(업무용),부산,중구,부산 중구 부평동4가 52-3 골든시티 11층 1112호,"56,000,000","44,800,000",낙찰,"51,110,000",91.30%,2021-04-22,2021_2Q,3
부산 6계 2018-5743,오피스텔(주거),오피스텔,오피스텔(업무용),부산,부산진구,부산 부산진구 양정동 397-1 양정역퀸즈팰리스 2동 7층 104-704호,"143,000,000","12,283,000",낙찰,"13,010,000",9.10%,2021-04-15,2021_2Q,3
부산 6계 2018-6272(1),다세대,다세대주택,다세대,부산,중구,"부산 중구 대청동3가 10-2 ,-1,-3 대청마루뷰 5층 502호","100,000,000","51,200,000",낙찰,"54,900,000",54.90%,2021-05-20,2021_2Q,3
부산 6계 2018-6272(2),오피스텔(주거),오피스텔,오피스텔(업무용),부산,중구,"부산 중구 대청동3가 10-2 ,-1,-3 대청마루뷰 10층 1001호","103,000,000","65,920,000",낙찰,"70,230,000",68.20%,2021-04-15,2021_2Q,3
부산 6계 2018-6272(3),오피스텔(주거),오피스텔,오피스텔(업무용),부산,중구,"부산 중구 대청동3가 10-2 ,-1,-3 대청마루뷰 10층 1002호","103,000,000","52,736,000",낙찰,"57,900,000",56.20%,2021-05-20,2021_2Q,3
부산 6계 2018-6272(4),오피스텔(주거),오피스텔,오피스텔(업무용),부산,중구,"부산 중구 대청동3가 10-2 ,-1,-3 대청마루뷰 10층 1003호","71,000,000","36,352,000",낙찰,"39,900,000",56.20%,2021-05-20,2021_2Q,3
부산 6계 2018-6272(5),오피스텔(주거),오피스텔,오피스텔(업무용),부산,중구,"부산 중구 대청동3가 10-2 ,-1,-3 대청마루뷰 11층 1101호","204,000,000","104,448,000",낙찰,"104,500,000",51.20%,2021-05-20,2021_2Q,3
부산 1계 2018-9813,도로,기타토지,기타토지,부산,부산진구,부산 부산진구 개금동 171-149,"376,618,000","40,439,000",낙찰,"45,000,000",11.90%,2021-04-27,2021_2Q,3
