사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
중앙 1계 2024-117229,다세대,다세대주택,다세대,서울,동작구,"서울 동작구 상도1동 457 ,460-7 해오름빌 가동 4층 403호","408,000,000","35,045,000",낙찰,"37,770,000",9.30%,2026-03-10,2026_1Q,0
중앙 1계 2024-119263(4),다세대,다세대주택,다세대,서울,강남구,서울 강남구 일원동 650-2 지하층1호,"552,000,000","353,280,000",낙찰,"521,080,000",94.40%,2026-03-10,2026_1Q,0
중앙 1계 2024-121532,다세대,다세대주택,다세대,서울,동작구,서울 동작구 사당동 1048-31 기쁨채 5층 502호,"295,000,000","188,800,000",낙찰,"303,000,000",102.70%,2026-03-10,2026_1Q,0
중앙 1계 2025-1505,연립,연립주택,연립·빌라,서울,서초구,"서울 서초구 방배동 845-9 ,845-10 동산빌라 3층 302호","2,800,000,000","2,240,000,000",낙찰,"2,301,070,900",82.20%,2026-03-10,2026_1Q,0
중앙 1계 2025-102331,아파트,아파트,아파트,서울,강남구,서울 강남구 대치동 66 쌍용대치 5동 15층 1508호,"3,830,000,000","3,830,000,000",낙찰,"4,052,888,000",105.80%,2026-03-10,2026_1Q,0
중앙 1계 2025-102588,근린주택,근린주택,근린주택,서울,관악구,서울 관악구 신림동 412-53 리더스빌,"1,809,776,600","1,447,821,000",낙찰,"1,510,000,000",83.40%,2026-03-10,2026_1Q,0
중앙 1계 2025-102599,다세대,다세대주택,다세대,서울,중구,서울 중구 신당동 366-314 다산미룸 3층 302호,"367,000,000","187,904,000",낙찰,"310,000,000",84.50%,2026-03-10,2026_1Q,0
중앙 1계 2025-102766(2),다세대,다세대주택,다세대,서울,서초구,서울 서초구 서초동 1649-15 서초하임 3층 303호,"841,000,000","538,240,000",낙찰,"690,000,900",82.00%,2026-03-10,2026_1Q,0
중앙 1계 2025-102766(3),다세대,다세대주택,다세대,서울,서초구,서울 서초구 서초동 1649-15 서초하임 4층 403호,"875,000,000","560,000,000",낙찰,"601,503,000",68.70%,2026-03-10,2026_1Q,0
중앙 1계 2025-102768(1),다세대,다세대주택,다세대,서울,서초구,서울 서초구 서초동 1649-15 서초하임 2층 203호,"806,000,000","515,840,000",낙찰,"520,000,000",64.50%,2026-03-10,2026_1Q,0
중앙 1계 2025-102768(3),다세대,다세대주택,다세대,서울,서초구,서울 서초구 서초동 1649-15 서초하임 4층 401호,"849,000,000","543,360,000",낙찰,"569,000,000",67.00%,2026-03-10,2026_1Q,0
중앙 1계 2025-103252,오피스텔(주거),오피스텔,오피스텔(업무용),서울,관악구,서울 관악구 봉천동 882-4 케이타워 3층 311호,"120,000,000","96,000,000",낙찰,"112,215,000",93.50%,2026-03-10,2026_1Q,0
서부 7계 2024-61758,근린주택,근린주택,근린주택,서울,은평구,서울 은평구 녹번동 100-38,"284,978,687","227,983,000",낙찰,"228,000,000",80.00%,2026-03-10,2026_1Q,0
서부 7계 2024-62300,점포,근린상가,점포상가,서울,서대문구,서울 서대문구 창천동 18-20 1호,"36,003,346,890","18,433,714,000",낙찰,"22,000,000,000",61.10%,2026-03-10,2026_1Q,0
서부 5계 2024-63051,단독주택,단독,단독주택,서울,마포구,서울 마포구 서교동 398-4,"21,960,999,000","11,244,031,000",낙찰,"12,297,000,000",56.00%,2026-03-10,2026_1Q,0
서부 7계 2024-64252,다세대,다세대주택,다세대,서울,은평구,"서울 은평구 응암동 270-80 ,270-81 세영메트로 1층 101호","377,000,000","241,280,000",낙찰,"277,899,100",73.70%,2026-03-10,2026_1Q,0
서부 7계 2025-736,오피스텔(상가),근린상가,오피스텔(업무용),서울,마포구,서울 마포구 성산동 593-10 태림센트윈상암 지하1층 비101호,"727,000,000","465,280,000",낙찰,"495,790,000",68.20%,2026-03-10,2026_1Q,0
서부 7계 2025-1272,주상복합(주거),기타토지,기타토지,서울,용산구,서울 용산구 이촌동 300-10 점보 13층 1309호,"3,040,000,000","2,432,000,000",낙찰,"2,490,000,000",81.90%,2026-03-10,2026_1Q,0
