사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
대전 7계 2018-17877,공장,공장(지식산업센터 업무시설),공장,세종,세종시,세종 세종시 전의면 읍내리 7-1,"2,543,484,640","1,246,307,000",낙찰,"1,385,926,290",54.5%,2021-05-11,2021_2Q,3
대전 1계 2019-8009,단독주택,단독,단독주택,세종,세종시,세종 세종시 금남면 달전리 119-1 주1동,"127,110,260","43,599,000",낙찰,"72,490,000",57.0%,2021-06-07,2021_2Q,3
대전 5계 2019-8375(1),근린상가,근린상가,근린상가,세종,세종시,세종 세종시 보람동 700-76 위너스타워 7층 701호,"722,000,000","353,780,000",낙찰,"512,700,000",71.0%,2021-06-16,2021_2Q,3
대전 8계 2019-11500,근린상가,근린상가,근린상가,세종,세종시,세종 세종시 종촌동 673 몰리브 3층 301-2호,"600,000,000","205,800,000",낙찰,"206,810,000",34.5%,2021-04-05,2021_2Q,3
대전 5계 2019-16710,근린상가,근린상가,근린상가,세종,세종시,세종 세종시 고운동 2088 삼성프라자 2층 204호,"590,000,000","202,370,000",낙찰,"272,300,000",46.2%,2021-04-07,2021_2Q,3
대전 5계 2019-16796,임야,임야,임야,세종,세종시,세종 세종시 장군면 송문리 387-5,"1,029,078,690","504,249,000",낙찰,"762,220,000",74.1%,2021-06-16,2021_2Q,3
대전 5계 2019-17669,임야,임야,임야,세종,세종시,세종 세종시 장군면 대교리 90-26,"7,713,342,000","3,779,537,000",낙찰,"3,811,550,000",49.4%,2021-06-16,2021_2Q,3
대전 8계 2019-18211,종교시설,기타건물,기타건물,세종,세종시,세종 세종시 전동면 미곡리 20-18 1동호,"603,708,680","207,072,000",낙찰,"375,350,000",62.2%,2021-04-05,2021_2Q,3
대전 7계 2019-108527(1),단독주택,단독,단독주택,세종,세종시,세종 세종시 조치원읍 서창리 168-11 에이플러스원룸,"170,591,350","82,793,000",낙찰,"96,660,000",56.7%,2021-05-11,2021_2Q,3
대전 3계 2019-109544,단독주택,단독,단독주택,세종,세종시,세종 세종시 연서면 고복리 108-4,"43,577,600","14,947,000",낙찰,"22,232,000",51.0%,2021-04-12,2021_2Q,3
대전 8계 2020-4065,단독주택,단독,단독주택,세종,세종시,세종 세종시 조치원읍 침산리 87-42,"301,550,150","211,085,000",낙찰,"275,500,000",91.4%,2021-04-05,2021_2Q,3
대전 7계 2020-5518,임야,임야,임야,세종,세종시,세종 세종시 장군면 봉안리 산49,"923,520,000","646,464,000",낙찰,"977,700,000",105.9%,2021-04-06,2021_2Q,3
대전 8계 2020-6726,전,전,전,세종,세종시,세종 세종시 연서면 와촌리 1101-3,"57,439,200","57,439,200",낙찰,"88,800,000",154.6%,2021-05-10,2021_2Q,3
대전 7계 2020-7187,전,전,전,세종,세종시,세종 세종시 부강면 부강리 876-6,"19,383,000","6,649,000",낙찰,"11,670,000",60.2%,2021-06-15,2021_2Q,3
대전 8계 2020-7507,전,전,전,세종,세종시,세종 세종시 전동면 봉대리 14-1,"230,040,000","78,904,000",낙찰,"80,100,000",34.8%,2021-06-14,2021_2Q,3
