사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
울산 6계 2018-8622,주상복합(주거),기타토지,기타토지,울산,남구,울산 남구 신정동 1875 극동스타클래스 19층 101-1904호,"467,000,000","326,900,000",낙찰,"487,000,000",104.3%,2021-06-22,2021_2Q,3
울산 8계 2018-10168,자동차시설,기타건물,기타건물,울산,중구,울산 중구 장현동 162-3 1층 101호,"3,885,000,000","1,332,555,000",낙찰,"1,400,330,000",36.0%,2021-05-11,2021_2Q,3
울산 9계 2019-1147,공장,공장(지식산업센터 업무시설),공장,울산,울주군,울산 울주군 삼남읍 가천리 866-36,"1,375,291,000","962,704,000",낙찰,"990,000,000",72.0%,2021-06-24,2021_2Q,3
울산 7계 2019-3976(5),근린상가,근린상가,근린상가,울산,북구,울산 북구 산하동 303-3 센트럴파크 1층 109호,"417,000,000","100,122,000",낙찰,"135,000,000",32.4%,2021-06-01,2021_2Q,3
울산 6계 2019-8483,다가구,다가구,다가구,울산,동구,울산 동구 화정동 151-20 송림미르빌,"613,338,880","300,536,000",낙찰,"408,978,000",66.7%,2021-06-22,2021_2Q,3
울산 5계 2019-8742(1),근린상가,근린상가,근린상가,울산,울주군,울산 울주군 언양읍 반천리 1106-17,"1,419,192,220","695,405,000",낙찰,"820,000,000",57.8%,2021-06-02,2021_2Q,3
울산 9계 2019-15047(2),답,답,답,울산,울주군,울산 울주군 삼남읍 상천리 118-1,"331,788,000","79,662,000",낙찰,"90,220,000",27.2%,2021-05-25,2021_2Q,3
울산 9계 2019-15320,아파트,아파트,아파트,울산,울주군,울산 울주군 언양읍 동부리 252-8 동부그린힐 1동 2층 202호,"201,000,000","140,700,000",낙찰,"176,330,000",87.7%,2021-05-25,2021_2Q,3
울산 2계 2019-15436,아파트,아파트,아파트,울산,남구,울산 남구 신정동 1680 올림푸스골든맨션 3동 1층 109호,"281,000,000","281,000,000",낙찰,"488,880,000",174.0%,2021-05-12,2021_2Q,3
울산 10계 2019-15481,답,답,답,울산,울주군,울산 울주군 상북면 지내리 606-1,"64,997,800","22,294,000",낙찰,"23,000,000",35.4%,2021-05-13,2021_2Q,3
울산 10계 2019-17432,답,답,답,울산,북구,울산 북구 산하동 764-2,"56,102,000","39,271,000",낙찰,"55,000,000",98.0%,2021-06-17,2021_2Q,3
울산 10계 2019-17579(4),임야,임야,임야,울산,울주군,울산 울주군 상북면 산전리 1104-22,"15,576,000","3,739,000",낙찰,"3,741,000",24.0%,2021-06-17,2021_2Q,3
울산 1계 2019-104701(2),임야,임야,임야,울산,울주군,울산 울주군 웅촌면 고연리 산246-2,"37,260,000","6,262,000",낙찰,"10,300,000",27.6%,2021-06-09,2021_2Q,3
울산 6계 2019-105889,아파트,아파트,아파트,울산,북구,울산 북구 중산동 622 현대 201동 17층 1707호,"79,000,000","38,710,000",낙찰,"55,500,000",70.3%,2021-05-18,2021_2Q,3
울산 8계 2019-109874,아파트,아파트,아파트,울산,북구,울산 북구 천곡동 418 삼성.코아루 115동 6층 606호,"215,000,000","215,000,000",낙찰,"273,100,000",127.0%,2021-06-15,2021_2Q,3
울산 9계 2019-110164(3),임야,임야,임야,울산,울주군,울산 울주군 웅촌면 대대리 745,"12,470,000","8,729,000",낙찰,"8,800,000",70.6%,2021-05-25,2021_2Q,3
울산 9계 2019-111204,아파트,아파트,아파트,울산,남구,울산 남구 야음동 748-2 진달래가든 2층 207호,"175,000,000","85,750,000",낙찰,"90,000,000",51.4%,2021-05-25,2021_2Q,3
울산 8계 2019-113149,아파트,아파트,아파트,울산,북구,울산 북구 신천동 786 울산신천엠코타운 103동 11층 1103호,"313,000,000","219,100,000",낙찰,"361,990,000",115.7%,2021-05-11,2021_2Q,3
울산 3계 2019-113224,단독주택,단독,단독주택,울산,북구,울산 북구 중산동 1285-6,"2,002,539,300","981,245,000",낙찰,"1,221,600,000",61.0%,2021-05-26,2021_2Q,3
울산 10계 2019-113545,아파트,아파트,아파트,울산,중구,"울산 중구 다운동 620 ,515-20 다운동삼성 103동 22층 2202호","177,000,000","123,900,000",낙찰,"180,400,000",101.9%,2021-06-17,2021_2Q,3
울산 2계 2019-113613,임야,임야,임야,울산,울주군,울산 울주군 두서면 차리 산134,"203,814,000","48,936,000",낙찰,"74,835,000",36.7%,2021-05-12,2021_2Q,3
울산 2계 2020-805(7),오피스텔(주거),오피스텔,오피스텔(업무용),울산,중구,울산 중구 반구동 703-1 럭키빌리지 2층 215호,"56,000,000","13,446,000",낙찰,"18,000,000",32.1%,2021-05-12,2021_2Q,3
울산 4계 2020-935,공장용지,공장(지식산업센터 업무시설),공장,울산,남구,울산 남구 용잠동 490-7,"176,946,300","176,946,300",낙찰,"177,760,000",100.5%,2021-05-20,2021_2Q,3
울산 9계 2020-1440,임야,임야,임야,울산,울주군,울산 울주군 삼남읍 교동리 산154-53,"16,600,000","8,134,000",낙찰,"12,010,000",72.3%,2021-05-25,2021_2Q,3
울산 7계 2020-1747,단독주택,단독,단독주택,울산,동구,울산 동구 주전동 127-1,"2,682,331,800","1,314,342,000",낙찰,"1,569,900,000",58.5%,2021-06-01,2021_2Q,3
울산 8계 2020-1938,근린상가,근린상가,근린상가,울산,북구,울산 북구 산하동 31 2층 202호,"260,000,000","89,180,000",낙찰,"114,940,000",44.2%,2021-05-11,2021_2Q,3
울산 7계 2020-2061,다가구,다가구,다가구,울산,울주군,울산 울주군 언양읍 서부리 242-14 1동,"1,028,358,320","503,896,000",낙찰,"605,100,000",58.8%,2021-06-01,2021_2Q,3
울산 8계 2020-2405,다세대,다세대주택,다세대,울산,동구,울산 동구 화정동 607-8 화정플러스빌 3층 302호,"218,000,000","106,820,000",낙찰,"160,200,000",73.5%,2021-05-11,2021_2Q,3
울산 7계 2020-3002,아파트,아파트,아파트,울산,북구,"울산 북구 중산동 621 ,617,622-3,-4,1200-26,-27 현대글로리아 102동 6층 606호","115,000,000","56,350,000",낙찰,"83,756,000",72.8%,2021-06-01,2021_2Q,3
울산 2계 2020-3071,단독주택,단독,단독주택,울산,중구,울산 중구 서동 64-1,"899,334,400","440,674,000",낙찰,"642,780,000",71.5%,2021-06-16,2021_2Q,3
울산 6계 2020-3361,아파트,아파트,아파트,울산,동구,울산 동구 화정동 162 대송현대 104동 13층 1408호,"151,000,000","105,700,000",낙찰,"140,005,200",92.7%,2021-05-18,2021_2Q,3
울산 10계 2020-3545,아파트,아파트,아파트,울산,울주군,울산 울주군 언양읍 어음리 253 장원그랜져맨션 12층 1205호,"92,600,000","64,820,000",낙찰,"75,350,000",81.4%,2021-05-13,2021_2Q,3
울산 7계 2020-4128,아파트,아파트,아파트,울산,동구,"울산 동구 동부동 150 ,-1,218-1,592-20 현대패밀리동부 113동 2층 205호","86,000,000","60,200,000",낙찰,"85,550,000",99.5%,2021-06-01,2021_2Q,3
울산 10계 2020-4159,아파트,아파트,아파트,울산,울주군,울산 울주군 온산읍 덕신리 1329-4 덕신동백 101동 1층 106호,"64,000,000","44,800,000",낙찰,"56,893,000",88.9%,2021-05-13,2021_2Q,3
울산 10계 2020-4470,아파트,아파트,아파트,울산,동구,울산 동구 방어동 505 현대비치 101동 1층 107호,"205,000,000","143,500,000",낙찰,"166,050,000",81.0%,2021-05-13,2021_2Q,3
울산 9계 2020-4739,아파트,아파트,아파트,울산,울주군,울산 울주군 온산읍 덕신리 184 덕신천지 102동 10층 1001호,"120,000,000","84,000,000",낙찰,"105,250,000",87.7%,2021-05-25,2021_2Q,3
울산 7계 2020-4814,전,전,전,울산,북구,울산 북구 신천동 60-1,"3,825,033,300","2,677,523,000",낙찰,"2,900,000,000",75.8%,2021-06-01,2021_2Q,3
울산 10계 2020-4869,아파트,아파트,아파트,울산,동구,울산 동구 전하동 768 늘푸른 101동 15층 1509호,"103,000,000","72,100,000",낙찰,"73,370,000",71.2%,2021-06-17,2021_2Q,3
울산 9계 2020-5022,아파트,아파트,아파트,울산,북구,울산 북구 신천동 244 무지개타운 102동 1층 105호,"92,000,000","64,400,000",낙찰,"90,770,000",98.7%,2021-05-25,2021_2Q,3
울산 10계 2020-5053,아파트,아파트,아파트,울산,북구,"울산 북구 천곡동 940-6 ,-7,-9 농소대동한마음타운 105동 15층 1507호","83,000,000","58,100,000",낙찰,"85,000,000",102.4%,2021-05-13,2021_2Q,3
울산 9계 2020-5190,아파트상가,아파트상가,근린상가,울산,중구,울산 중구 성안동 858-1 성안금호타운 상가동 1층 102호,"65,000,000","31,850,000",낙찰,"38,660,000",59.5%,2021-06-24,2021_2Q,3
울산 10계 2020-5206,아파트,아파트,아파트,울산,북구,울산 북구 중산동 1010-1 약수제일 B-다동 11층 1106호,"83,000,000","58,100,000",낙찰,"64,210,000",77.4%,2021-05-13,2021_2Q,3
울산 10계 2020-5350,답,답,답,울산,울주군,울산 울주군 온산읍 삼평리 854-1,"363,378,000","254,365,000",낙찰,"280,160,000",77.1%,2021-05-13,2021_2Q,3
울산 1계 2020-5367,다세대,다세대주택,다세대,울산,북구,울산 북구 신천동 44-7 신천그린빌라 가동 4층 401호,"101,000,000","49,490,000",낙찰,"71,100,000",70.4%,2021-06-09,2021_2Q,3
울산 5계 2020-5411,오피스텔(주거),오피스텔,오피스텔(업무용),울산,동구,울산 동구 전하동 639-8 전하동에스오션타워 10층 1007호,"134,000,000","93,800,000",낙찰,"98,880,000",73.8%,2021-06-02,2021_2Q,3
울산 10계 2020-5527,다세대,다세대주택,다세대,울산,중구,울산 중구 반구동 592-20 정우빌라 4층 401호,"123,000,000","86,100,000",낙찰,"98,899,000",80.4%,2021-05-13,2021_2Q,3
울산 1계 2020-5541,단독주택,단독,단독주택,울산,중구,울산 중구 반구동 797-5 갤럭시,"1,003,176,400","491,556,000",낙찰,"617,999,999",61.6%,2021-06-09,2021_2Q,3
울산 7계 2020-5619,대지,나대지,나대지,울산,울주군,울산 울주군 청량읍 상남리 799-5,"1,053,500,000","1,053,500,000",낙찰,"1,170,000,000",111.1%,2021-06-01,2021_2Q,3
울산 8계 2020-5657,아파트,아파트,아파트,울산,동구,울산 동구 방어동 480-21 금성국민 3층 307호,"98,000,000","33,614,000",낙찰,"55,170,000",56.3%,2021-05-11,2021_2Q,3
울산 6계 2020-5749,오피스텔,오피스텔,오피스텔(업무용),울산,동구,"울산 동구 방어동 308-3 ,-8,-18,307-3,-8 월드스카이파크 3층 307호","136,000,000","32,654,000",낙찰,"39,000,000",28.7%,2021-05-18,2021_2Q,3
울산 9계 2020-5770,근린상가,근린상가,근린상가,울산,울주군,울산 울주군 상북면 등억알프스리 502-3,"456,224,920","319,357,000",낙찰,"425,000,000",93.2%,2021-05-25,2021_2Q,3
울산 10계 2020-5916,연립,연립주택,연립·빌라,울산,중구,울산 중구 반구동 703-1 럭키빌리지 5층 602호,"121,000,000","84,700,000",낙찰,"93,650,000",77.4%,2021-06-17,2021_2Q,3
울산 10계 2020-6056,근린상가,근린상가,근린상가,울산,울주군,울산 울주군 언양읍 서부리 291-2 우리아동병원 1층 110호,"380,000,000","266,000,000",낙찰,"286,990,000",75.5%,2021-06-17,2021_2Q,3
울산 5계 2020-6605,아파트,아파트,아파트,울산,중구,울산 중구 서동 41-3 광명파크 1층 101호,"97,000,000","67,900,000",낙찰,"83,000,000",85.6%,2021-06-02,2021_2Q,3
울산 2계 2020-6711,아파트,아파트,아파트,울산,남구,울산 남구 삼산동 1459-1 현대 108동 6층 606호,"450,000,000","450,000,000",낙찰,"715,000,000",158.9%,2021-05-12,2021_2Q,3
울산 8계 2020-6780,아파트,아파트,아파트,울산,동구,울산 동구 동부동 350-1 아성오우션맨션 102동 7층 707호,"93,000,000","65,100,000",낙찰,"66,777,000",71.8%,2021-06-15,2021_2Q,3
울산 6계 2020-6797,공장,공장(지식산업센터 업무시설),공장,울산,울주군,울산 울주군 두동면 봉계리 66-1,"1,799,111,700","881,565,000",낙찰,"895,585,000",49.8%,2021-05-18,2021_2Q,3
울산 9계 2020-6834,아파트,아파트,아파트,울산,남구,"울산 남구 신정동 1880 ,1883,1884 태화강풍림엑슬루타워 A동 6층 603호","405,000,000","405,000,000",낙찰,"409,999,000",101.2%,2021-05-25,2021_2Q,3
울산 1계 2020-6872,아파트,아파트,아파트,울산,동구,울산 동구 화정동 851 현대 702동 13층 1408호,"144,000,000","100,800,000",낙찰,"131,799,900",91.5%,2021-06-09,2021_2Q,3
울산 5계 2020-6919,주상복합(주거),기타토지,기타토지,울산,동구,"울산 동구 방어동 366-4 ,-6 임페리얼 7층 703호","147,000,000","102,900,000",낙찰,"103,165,000",70.2%,2021-06-02,2021_2Q,3
울산 10계 2020-6964,주상복합(주거),기타토지,기타토지,울산,남구,"울산 남구 달동 1382-3 ,99-24 대신그린파크 1층 101호","147,000,000","102,900,000",낙찰,"128,890,000",87.7%,2021-05-13,2021_2Q,3
울산 3계 2020-7011,아파트,아파트,아파트,울산,울주군,울산 울주군 범서읍 굴화리 739 문수마을수필 103동 14층 1401호,"319,000,000","319,000,000",낙찰,"390,050,000",122.3%,2021-05-26,2021_2Q,3
울산 9계 2020-7028,근린상가,근린상가,근린상가,울산,남구,"울산 남구 야음동 698-1 수암시장상가 A3동 1,2층 8호","1,150,000,000","805,000,000",낙찰,"1,011,100,000",87.9%,2021-06-24,2021_2Q,3
울산 6계 2020-7196,단독주택,단독,단독주택,울산,울주군,울산 울주군 웅촌면 초천리 59-2,"136,952,280","95,867,000",낙찰,"111,655,500",81.5%,2021-06-22,2021_2Q,3
울산 6계 2020-7233(3),과수원,과수원,과수원,울산,울주군,울산 울주군 서생면 화산리 288-5,"50,286,000","35,200,000",낙찰,"50,354,000",100.1%,2021-06-22,2021_2Q,3
울산 3계 2020-7325,아파트,아파트,아파트,울산,울주군,"울산 울주군 청량읍 삼정리 755 ,-4,-5,753-3,901 쌍용하나빌리지 102동 3층 306호","100,000,000","70,000,000",낙찰,"91,891,000",91.9%,2021-05-26,2021_2Q,3
울산 10계 2020-7479(1),점포,근린상가,점포상가,울산,울주군,울산 울주군 두동면 봉계리 531-8 나동,"459,702,540","321,792,000",낙찰,"356,260,000",77.5%,2021-06-17,2021_2Q,3
