사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
인천 24계 2018-6626,다세대,다세대주택,다세대,인천,남동구,인천 남동구 구월동 1236-6 정운빌라 4층 401호,"92,900,000","65,030,000",낙찰,"77,599,999",83.50%,2023-09-07,2023_3Q,3
인천 24계 2018-8479(2),전,전,전,인천,강화군,인천 강화군 길상면 온수리 54-14,"4,242,000","1,019,000",낙찰,"1,200,000",28.30%,2023-10-24,2023_4Q,3
인천 24계 2018-8479(4),도로,기타토지,기타토지,인천,강화군,인천 강화군 길상면 온수리 51-32,"86,239,000","20,706,000",낙찰,"33,333,000",38.70%,2023-10-24,2023_4Q,3
인천 4계 2019-4191,아파트,아파트,아파트,인천,서구,"인천 서구 마전동 997-1 ,997-7,997-2 인천검단힐스테이트2차 208동 11층 1102호","404,000,000","404,000,000",낙찰,"414,600,000",102.60%,2023-10-25,2023_4Q,3
인천 26계 2019-13379,다세대,다세대주택,다세대,인천,서구,인천 서구 가좌동 125-18 산호빌라 나동 지하층 2호,"40,000,000","19,600,000",낙찰,"28,590,000",71.50%,2023-11-03,2023_4Q,3
인천 4계 2019-523630(4),임야,임야,임야,인천,강화군,인천 강화군 삼산면 매음리 649-8,"917,388,000","154,186,000",낙찰,"180,000,100",19.60%,2023-07-05,2023_3Q,3
인천 9계 2020-6179,다세대,다세대주택,다세대,인천,서구,인천 서구 석남동 508-10 영성빌라 마동 2층 302호,"120,000,000","58,800,000",낙찰,"65,200,000",54.30%,2023-10-19,2023_4Q,3
인천 14계 2020-17599(1),의료시설,병원,병원,인천,강화군,인천 강화군 불은면 덕성리 99-2,"5,366,091,040","2,629,385,000",낙찰,"3,105,400,000",57.90%,2023-07-27,2023_3Q,3
인천 4계 2020-21550,다세대,다세대주택,다세대,인천,중구,인천 중구 신흥동2가 22-79 성원빌라 3층 303호,"79,000,000","38,710,000",낙찰,"39,000,000",49.40%,2023-07-05,2023_3Q,3
인천 23계 2020-21734,다세대,다세대주택,다세대,인천,부평구,인천 부평구 부평동 768-276 뉴정일그린타운 1동 2층 201호,"98,000,000","68,600,000",낙찰,"81,234,567",82.90%,2023-09-20,2023_3Q,3
인천 4계 2020-21932,주상복합(상가),기타토지,기타토지,인천,남동구,인천 남동구 간석동 229-1 청실프라자 1층 54호,"983,400,000","236,114,000",낙찰,"303,000,000",30.80%,2023-11-24,2023_4Q,3
인천 2계 2020-22010,아파트형공장,공장(지식산업센터 업무시설),공장,인천,서구,인천 서구 가좌동 576 B동 1층 102호,"912,880,000","447,311,000",낙찰,"657,850,000",72.10%,2023-11-13,2023_4Q,3
인천 11계 2020-26005,아파트,아파트,아파트,인천,계양구,인천 계양구 효성동 238-1 뉴서울5차 506동 19층 1903호,"284,000,000","198,800,000",낙찰,"325,140,000",114.50%,2023-08-28,2023_3Q,3
인천 4계 2020-527690,다세대,다세대주택,다세대,인천,강화군,인천 강화군 교동면 대룡리 525-5 운용주택 B동 3층,"54,000,000","3,113,000",낙찰,"3,510,000",6.50%,2023-07-05,2023_3Q,3
인천 1계 2020-529405,근린상가,근린상가,근린상가,인천,부평구,인천 부평구 부평동 205-2 엡스201 지하1층 B048호,"1,500,000,000","252,105,000",낙찰,"360,000,000",24.00%,2023-08-16,2023_3Q,3
인천 24계 2021-62,다세대,다세대주택,다세대,인천,남동구,인천 남동구 구월동 1236-6 정운빌라 4층 402호,"108,000,000","52,920,000",낙찰,"76,699,999",71.00%,2023-10-24,2023_4Q,3
인천 14계 2021-536(1),다세대,다세대주택,다세대,인천,계양구,인천 계양구 병방동 92-13 2층 201호,"361,000,000","123,823,000",낙찰,"149,099,000",41.30%,2023-07-27,2023_3Q,3
인천 14계 2021-536(4),다세대,다세대주택,다세대,인천,계양구,인천 계양구 병방동 92-13 3층 302호,"396,000,000","95,080,000",낙찰,"130,000,100",32.80%,2023-08-31,2023_3Q,3
인천 14계 2021-536(5),다세대,다세대주택,다세대,인천,계양구,인천 계양구 병방동 92-13 4층 401호,"248,000,000","85,064,000",낙찰,"128,799,900",51.90%,2023-07-27,2023_3Q,3
인천 1계 2021-1287(2),답,답,답,인천,옹진군,인천 옹진군 영흥면 내리 148,"297,332,000","145,692,000",낙찰,"167,570,000",56.40%,2023-07-13,2023_3Q,3
인천 16계 2021-1362,아파트,아파트,아파트,인천,미추홀구,인천 미추홀구 주안동 58-20 신한3차 101동 2층 201호,"137,000,000","95,900,000",낙찰,"108,300,000",79.10%,2023-07-12,2023_3Q,3
인천 26계 2021-1584(1),임야,임야,임야,인천,강화군,인천 강화군 삼산면 석포리 551-1,"7,200,000","7,200,000",낙찰,"7,300,000",101.40%,2023-12-05,2023_4Q,3
인천 26계 2021-1584(8),대지,나대지,나대지,인천,강화군,인천 강화군 삼산면 석포리 614-1,"34,986,000","34,986,000",낙찰,"35,086,000",100.30%,2023-12-05,2023_4Q,3
인천 26계 2021-1584(12),임야,임야,임야,인천,강화군,인천 강화군 삼산면 석포리 산23-5,"930,000","930,000",낙찰,"11,100,000",1193.50%,2023-12-05,2023_4Q,3
인천 26계 2021-1584(15),임야,임야,임야,인천,강화군,인천 강화군 삼산면 석포리 555-18,"7,840,000","7,840,000",낙찰,"10,660,000",136.00%,2023-12-05,2023_4Q,3
인천 26계 2021-1584(17),임야,임야,임야,인천,강화군,인천 강화군 삼산면 석포리 555-7,"141,304,000","141,304,000",낙찰,"201,304,000",142.50%,2023-12-05,2023_4Q,3
인천 26계 2021-1584(28),대지,나대지,나대지,인천,강화군,인천 강화군 삼산면 석포리 599-1,"234,647,000","234,647,000",낙찰,"235,648,000",100.40%,2023-12-05,2023_4Q,3
인천 26계 2021-1584(29),대지,나대지,나대지,인천,강화군,인천 강화군 삼산면 석포리 558-3,"2,040,000","2,040,000",낙찰,"3,300,000",161.80%,2023-12-05,2023_4Q,3
인천 26계 2021-1584(40),전,전,전,인천,강화군,인천 강화군 삼산면 석포리 583-1,"159,276,000","159,276,000",낙찰,"178,340,000",112.00%,2023-12-05,2023_4Q,3
인천 23계 2021-4941(1),근린상가,근린상가,근린상가,인천,서구,인천 서구 검암동 643-2 우주프라자 3층 301호,"350,000,000","245,000,000",낙찰,"252,190,000",72.10%,2023-11-06,2023_4Q,3
인천 23계 2021-4941(2),근린상가,근린상가,근린상가,인천,서구,인천 서구 검암동 643-2 우주프라자 3층 303호,"253,000,000","177,100,000",낙찰,"187,500,000",74.10%,2023-11-06,2023_4Q,3
인천 22계 2021-5234,전,전,전,인천,중구,인천 중구 운남동 196-1,"1,126,835,000","552,150,000",낙찰,"626,747,000",55.60%,2023-10-16,2023_4Q,3
인천 11계 2021-5609,다세대,다세대주택,다세대,인천,미추홀구,인천 미추홀구 용현동 124-4 낙원빌라 1동 B층 1호,"57,000,000","27,930,000",낙찰,"29,999,900",52.60%,2023-07-25,2023_3Q,3
인천 26계 2021-6022,다세대,다세대주택,다세대,인천,중구,인천 중구 신흥동1가 5-5 동호빌라 3층 301호,"73,000,000","6,012,000",낙찰,"6,310,000",8.60%,2023-09-19,2023_3Q,3
인천 24계 2021-6831,다세대,다세대주택,다세대,인천,중구,인천 중구 신흥동3가 18-47 로렉스52 13층 1304호,"193,000,000","135,100,000",낙찰,"140,890,000",73.00%,2023-07-04,2023_3Q,3
인천 22계 2021-8493(4),오피스텔,오피스텔,오피스텔(업무용),인천,미추홀구,"인천 미추홀구 학익동 264-4 ,-13,-14,-15,-16,-17,-18,-19,262-4,263-2,628-7 5층 503호","198,320,000","33,332,000",낙찰,"34,332,000",17.30%,2023-09-01,2023_3Q,3
인천 22계 2021-8493(6),오피스텔,오피스텔,오피스텔(업무용),인천,미추홀구,"인천 미추홀구 학익동 264-4 ,-13,-14,-15,-16,-17,-18,-19,262-4,263-2,628-7 6층 605호","111,750,000","18,782,000",낙찰,"19,785,000",17.70%,2023-09-01,2023_3Q,3
인천 22계 2021-8493(7),오피스텔,오피스텔,오피스텔(업무용),인천,미추홀구,"인천 미추홀구 학익동 264-4 ,-13,-14,-15,-16,-17,-18,-19,262-4,263-2,628-7 8층 816호","126,750,000","30,433,000",낙찰,"31,555,000",24.90%,2023-07-28,2023_3Q,3
인천 22계 2021-9113(5),오피스텔,오피스텔,오피스텔(업무용),인천,미추홀구,"인천 미추홀구 학익동 264-4 ,262-4,263-2,264-13,-14,-15,-16,-17,-18,-19,628-7 6층 617호","162,000,000","27,227,000",낙찰,"32,500,000",20.10%,2023-11-17,2023_4Q,3
인천 22계 2021-9854(1),묘지,기타토지,기타토지,인천,옹진군,인천 옹진군 자월면 승봉리 628,"24,123,000","8,274,000",낙찰,"10,731,731",44.50%,2023-09-01,2023_3Q,3
인천 22계 2021-9854(2),전,전,전,인천,옹진군,인천 옹진군 자월면 승봉리 629,"27,664,000","9,489,000",낙찰,"15,167,000",54.80%,2023-09-01,2023_3Q,3
인천 22계 2021-12119(1),아파트형공장,공장(지식산업센터 업무시설),공장,인천,서구,인천 서구 오류동 1656-1 블루텍 10층 공존1035호,"313,000,000","107,359,000",낙찰,"135,000,000",43.10%,2023-07-28,2023_3Q,3
인천 22계 2021-12119(2),아파트형공장,공장(지식산업센터 업무시설),공장,인천,서구,인천 서구 오류동 1656-1 블루텍 10층 공존1036호,"313,000,000","107,359,000",낙찰,"135,000,000",43.10%,2023-07-28,2023_3Q,3
인천 22계 2021-12119(3),아파트형공장,공장(지식산업센터 업무시설),공장,인천,서구,인천 서구 오류동 1656-1 블루텍 10층 공존1037호,"313,000,000","107,359,000",낙찰,"135,000,000",43.10%,2023-07-28,2023_3Q,3
인천 26계 2021-12263(1),아파트형공장,공장(지식산업센터 업무시설),공장,인천,서구,인천 서구 오류동 1656-1 블루텍 6층 공존-638호,"1,394,400,000","683,256,000",낙찰,"699,000,000",50.10%,2023-09-19,2023_3Q,3
인천 26계 2021-12263(2),아파트형공장,공장(지식산업센터 업무시설),공장,인천,서구,인천 서구 오류동 1656-1 블루텍 6층 공존-637호,"368,200,000","180,418,000",낙찰,"252,000,000",68.40%,2023-09-19,2023_3Q,3
인천 3계 2021-12553,공장,공장(지식산업센터 업무시설),공장,인천,남동구,인천 남동구 고잔동 715-14,"2,393,798,120","2,393,798,120",낙찰,"2,638,000,000",110.20%,2023-11-20,2023_4Q,3
인천 10계 2021-15033,숙박시설,숙박시설,숙박시설,인천,남동구,인천 남동구 논현동 647-6 라르시티호텔 8층 805호,"137,000,000","23,026,000",낙찰,"24,850,000",18.10%,2023-12-11,2023_4Q,3
인천 23계 2021-16081,다세대,다세대주택,다세대,인천,계양구,인천 계양구 작전동 856-129 하이클래스 3층 303호,"201,000,000","1,364,000",낙찰,"2,137,000",1.10%,2023-11-06,2023_4Q,3
인천 4계 2021-16258,다세대,다세대주택,다세대,인천,미추홀구,인천 미추홀구 주안동 1354-20 2층 201호,"944,200,000","323,861,000",낙찰,"361,818,180",38.30%,2023-08-04,2023_3Q,3
인천 26계 2021-16944,다세대,다세대주택,다세대,인천,서구,인천 서구 금곡동 726-2 바우하우스 4층 403호,"119,000,000","83,300,000",낙찰,"96,119,000",80.80%,2023-07-14,2023_3Q,3
인천 18계 2021-17336,아파트,아파트,아파트,인천,계양구,인천 계양구 병방동 432-5 학마을 영남 123동 13층 1302호,"440,000,000","215,600,000",낙찰,"310,200,000",70.50%,2023-11-27,2023_4Q,3
인천 16계 2021-17831,공장,공장(지식산업센터 업무시설),공장,인천,서구,인천 서구 가좌동 562-11,"1,133,990,000","793,793,000",낙찰,"1,134,000,010",100.00%,2023-11-01,2023_4Q,3
인천 3계 2021-18759,다세대,다세대주택,다세대,인천,미추홀구,인천 미추홀구 문학동 문학도시개발구역 9블럭4롯트 소노하임 1동 2층 201호,"301,242,966","147,609,000",낙찰,"175,500,000",58.30%,2023-09-04,2023_3Q,3
인천 26계 2021-503707,공장,공장(지식산업센터 업무시설),공장,인천,서구,인천 서구 가좌동 173-294,"3,792,241,380","2,654,569,000",낙찰,"3,900,000,000",102.80%,2023-12-05,2023_4Q,3
인천 3계 2021-506911,근린상가,근린상가,근린상가,인천,옹진군,"인천 옹진군 영흥면 내리 8-251 ,8-1 영흥어시장 1동 3층 303호","420,000,000","100,842,000",낙찰,"144,100,000",34.30%,2023-10-18,2023_4Q,3
인천 4계 2021-510927,목욕시설,기타건물,기타건물,인천,강화군,인천 강화군 강화읍 남산리 222 강화종합버스터미널 지하층 B02호,"637,000,000","312,130,000",낙찰,"350,000,000",54.90%,2023-07-05,2023_3Q,3
인천 21계 2021-512527,다세대,다세대주택,다세대,인천,부평구,인천 부평구 부개동 249-6 대창스페이스빌 3동 5층 503호,"150,000,000","2,077,000",낙찰,"2,263,000",1.50%,2023-09-12,2023_3Q,3
인천 7계 2021-515106,전,전,전,인천,강화군,인천 강화군 강화읍 관청리 776-1,"1,000,424,000","240,202,000",낙찰,"287,001,000",28.70%,2023-12-15,2023_4Q,3
인천 11계 2021-516482,아파트,아파트,아파트,인천,서구,인천 서구 가정동 610-1 루원시티프라디움 112동 25층 2505호,"690,000,000","483,000,000",낙찰,"659,999,999",95.70%,2023-10-06,2023_4Q,3
인천 10계 2021-516956,연립,연립주택,연립·빌라,인천,계양구,인천 계양구 효성동 34-59 피렌체하우스 3층 301호,"164,000,000","4,633,000",낙찰,"5,089,000",3.10%,2023-09-25,2023_3Q,3
인천 15계 2021-517737,아파트,아파트,아파트,인천,연수구,인천 연수구 동춘동 923 연수타운 107동 14층 1402호,"614,000,000","300,860,000",낙찰,"442,990,000",72.10%,2023-11-29,2023_4Q,3
인천 4계 2021-518907,연립,연립주택,연립·빌라,인천,미추홀구,인천 미추홀구 용현동 50-31 용남빌라 1층 102호,"73,700,000","25,279,000",낙찰,"26,110,000",35.40%,2023-09-08,2023_3Q,3
인천 25계 2021-520207,다세대,다세대주택,다세대,인천,미추홀구,인천 미추홀구 주안동 645-8 수림빌라트 4층 403호,"86,000,000","2,430,000",낙찰,"2,523,000",2.90%,2023-08-24,2023_3Q,3
인천 11계 2021-520481(1),다세대,다세대주택,다세대,인천,서구,인천 서구 석남동 508-4 DH씨밀레 8층 803호,"192,000,000","5,424,000",낙찰,"6,099,000",3.20%,2023-10-06,2023_4Q,3
인천 11계 2021-520481(2),연립,연립주택,연립·빌라,인천,서구,인천 서구 왕길동 672-4 양지쉐르빌 101동 3층 303호,"203,000,000","5,734,000",낙찰,"5,863,000",2.90%,2023-10-06,2023_4Q,3
인천 15계 2021-521538,아파트,아파트,아파트,인천,서구,인천 서구 청라동 193-1 청라자이 114동 9층 903호,"871,000,000","426,790,000",낙찰,"633,123,457",72.70%,2023-08-09,2023_3Q,3
인천 10계 2021-522104,다세대,다세대주택,다세대,인천,남동구,인천 남동구 서창동 548-1 트윈 1동 2층 202호,"140,000,000","68,600,000",낙찰,"81,220,000",58.00%,2023-08-23,2023_3Q,3
인천 21계 2021-523329,다세대,다세대주택,다세대,인천,계양구,인천 계양구 계산동 57-19 안흥빌라 나동 3층 301호,"87,000,000","60,900,000",낙찰,"66,300,000",76.20%,2023-10-27,2023_4Q,3
인천 24계 2021-523961,다세대,다세대주택,다세대,인천,미추홀구,인천 미추홀구 용현동 622-82 우솔빌 4층 401호,"129,000,000","7,437,000",낙찰,"7,452,000",5.80%,2023-09-07,2023_3Q,3
