사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
광주 7계 2019-9826,양어장,기타토지,기타토지,전남,영광군,전남 영광군 염산면 봉남리 567-1,"23,125,150","4,243,000",낙찰,"5,430,000",23.50%,2021-05-11,2021_2Q,3
광주 4계 2019-12808,대지,나대지,나대지,전남,나주시,전남 나주시 노안면 도산리 797-3,"86,630,310","48,513,000",낙찰,"62,000,000",71.60%,2021-04-13,2021_2Q,3
광주 7계 2019-15647,단독주택,단독,단독주택,전남,나주시,전남 나주시 금천면 신가리 800-1,"24,387,170","10,926,000",낙찰,"11,630,000",47.70%,2021-06-22,2021_2Q,3
광주 7계 2019-16879(1),전,전,전,전남,나주시,전남 나주시 경현동 706,"23,725,000","6,802,000",낙찰,"8,810,000",37.10%,2021-05-11,2021_2Q,3
광주 4계 2019-18424,공장,공장(지식산업센터 업무시설),공장,전남,담양군,전남 담양군 무정면 봉안리 381-4,"1,137,945,700","796,562,000",낙찰,"1,039,000,000",91.30%,2021-04-13,2021_2Q,3
광주 4계 2019-72299,아파트상가,아파트상가,기타토지,전남,화순군,전남 화순군 화순읍 벽라리 37 화순3차서라 상가동 2층 201호,"76,000,000","53,200,000",낙찰,"55,000,000",72.40%,2021-04-13,2021_2Q,3
광주 9계 2019-76437(1),분뇨쓰레기처리시설,기타토지,기타토지,전남,담양군,전남 담양군 봉산면 기곡리 21 그린영농조합법인남부열병합발전소 가동호,"5,701,021,700","2,043,246,000",낙찰,"2,265,000,000",39.70%,2021-06-02,2021_2Q,3
광주 10계 2020-1347,공장,공장(지식산업센터 업무시설),공장,전남,곡성군,전남 곡성군 석곡면 연반리 698-1,"609,482,280","426,638,000",낙찰,"451,000,000",74.00%,2021-05-14,2021_2Q,3
광주 3계 2020-2111(1),임야,임야,임야,전남,영광군,전남 영광군 백수읍 백암리 산128-1,"5,090,100","5,090,100",낙찰,"5,620,000",110.40%,2021-04-29,2021_2Q,3
광주 9계 2020-2401(2),단독주택,단독,단독주택,전남,화순군,전남 화순군 능주면 백암리 655-1,"8,134,500","2,915,000",낙찰,"3,000,000",36.90%,2021-06-02,2021_2Q,3
광주 4계 2020-2494(1),전,전,전,전남,영광군,전남 영광군 염산면 야월리 250,"2,989,440","2,093,000",낙찰,"2,093,000",70.00%,2021-05-25,2021_2Q,3
광주 4계 2020-2494(2),전,전,전,전남,영광군,전남 영광군 염산면 야월리 613-1,"2,242,840","1,570,000",낙찰,"1,570,000",70.00%,2021-05-25,2021_2Q,3
광주 4계 2020-3923(2),대지,나대지,나대지,전남,나주시,전남 나주시 동강면 운산리 549,"6,986,000","6,986,000",낙찰,"8,510,000",121.80%,2021-05-25,2021_2Q,3
광주 4계 2020-3923(3),대지,나대지,나대지,전남,나주시,전남 나주시 동강면 운산리 557,"361,620","361,620",낙찰,"1,279,990",354.00%,2021-05-25,2021_2Q,3
광주 4계 2020-3923(4),대지,나대지,나대지,전남,나주시,전남 나주시 동강면 운산리 559,"455,000","455,000",낙찰,"1,297,990",285.30%,2021-05-25,2021_2Q,3
광주 4계 2020-3923(5),답,답,답,전남,나주시,전남 나주시 동강면 운산리 570-4,"208,000","208,000",낙찰,"429,990",206.70%,2021-05-25,2021_2Q,3
광주 5계 2020-4421,연구소,기타건물,기타건물,전남,나주시,전남 나주시 빛가람동 196-4 더클래스 4층 405호,"252,000,000","112,896,000",낙찰,"160,000,000",63.50%,2021-04-27,2021_2Q,3
광주 4계 2020-5219,주차장용지,기타토지,주차장용지,전남,나주시,전남 나주시 빛가람동 46-5,"1,433,203,000","802,594,000",낙찰,"952,300,000",66.40%,2021-05-25,2021_2Q,3
광주 9계 2020-6540(2),임야,임야,임야,전남,곡성군,전남 곡성군 오산면 운곡리 산252,"26,979,000","18,885,000",낙찰,"25,400,000",94.10%,2021-04-21,2021_2Q,3
광주 4계 2020-7123,연립,연립주택,연립·빌라,전남,장성군,전남 장성군 삼계면 주산리 749-13 순이 1층 105호,"42,000,000","18,816,000",낙찰,"23,100,000",55.00%,2021-04-13,2021_2Q,3
광주 5계 2020-7482,대지,나대지,나대지,전남,나주시,전남 나주시 다시면 영동리 712,"5,704,000","5,704,000",낙찰,"7,125,000",124.90%,2021-06-09,2021_2Q,3
광주 8계 2020-7734,공장,공장(지식산업센터 업무시설),공장,전남,영광군,전남 영광군 대마면 송죽리 1029-7 1동,"1,786,681,500","640,347,000",낙찰,"801,090,000",44.80%,2021-06-24,2021_2Q,3
광주 1계 2020-7758,아파트,아파트,아파트,전남,나주시,"전남 나주시 대호동 75 ,77-3,성북동 13-10,27 현대 102동 13층 1308호","80,000,000","56,000,000",낙찰,"74,532,000",93.20%,2021-05-10,2021_2Q,3
광주 10계 2020-7956,아파트형공장,공장(지식산업센터 업무시설),공장,전남,나주시,전남 나주시 빛가람동 186-1 이노파크식스틴지식산업센터 사동 1층 107호,"340,000,000","152,320,000",낙찰,"160,900,000",47.30%,2021-04-02,2021_2Q,3
광주 3계 2020-8065,오피스텔(상가),오피스텔,오피스텔(업무용),전남,나주시,전남 나주시 빛가람동 196-1 리치타워 1동 2층 B207호,"230,000,000","161,000,000",낙찰,"174,000,000",75.70%,2021-04-29,2021_2Q,3
광주 4계 2020-8454(3),임야,임야,임야,전남,영광군,전남 영광군 영광읍 남천리 358-14,"107,100,000","74,970,000",낙찰,"110,000,000",102.70%,2021-05-25,2021_2Q,3
광주 4계 2020-8454(13),답,답,답,전남,영광군,전남 영광군 영광읍 녹사리 27-1,"3,795,000","2,126,000",낙찰,"2,700,000",71.10%,2021-04-13,2021_2Q,3
광주 3계 2020-8539,숙박시설,숙박시설,숙박시설,전남,장성군,"전남 장성군 삼계면 주산리 475-1 ,-3,413-5","1,095,100,600","766,570,000",낙찰,"823,450,000",75.20%,2021-04-29,2021_2Q,3
