사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
전주 4계 2017-14258,주유소,기타건물,주유소,전북,전주시,"전북 전주시 완산구 색장동 857-6 ,857,-5,858-1,-2,-3,-5,-14,-18,-19,-20,-21,-22 제1호","1,745,844,000","1,222,091,000",낙찰,"1,415,110,000",81.10%,2021-06-07,2021_2Q,3
전주 7계 2018-11249,근린상가,근린상가,근린상가,전북,전주시,"전북 전주시 덕진구 덕진동1가 1407-3 ,-12,-13","1,874,991,280","918,746,000",낙찰,"1,288,500,000",68.70%,2021-05-17,2021_2Q,3
전주 7계 2019-4415,전,전,전,전북,임실군,전북 임실군 신평면 대리 408-20,"9,268,000","1,558,000",낙찰,"2,390,000",25.80%,2021-06-28,2021_2Q,3
전주 2계 2019-7568(1),창고,기타건물,창고,전북,전주시,전북 전주시 완산구 상림동 366-5,"56,028,720","56,028,720",낙찰,"62,780,000",112.00%,2021-05-10,2021_2Q,3
전주 2계 2019-7568(2),전,전,전,전북,전주시,전북 전주시 완산구 상림동 362-2,"7,440,000","3,646,000",낙찰,"4,720,000",63.40%,2021-06-21,2021_2Q,3
전주 4계 2019-8820(2),전,전,전,전북,완주군,전북 완주군 상관면 신리 701-1,"281,600,000","197,120,000",낙찰,"300,100,000",106.60%,2021-06-07,2021_2Q,3
전주 7계 2019-9403,임야,임야,임야,전북,완주군,전북 완주군 구이면 원기리 733-62,"2,529,360,160","1,770,552,000",낙찰,"1,801,000,000",71.20%,2021-06-28,2021_2Q,3
전주 2계 2019-10236(15),근린상가,근린상가,근린상가,전북,전주시,전북 전주시 덕진구 송천동1가 626-75 주건축물 1동 4층 401호,"235,000,000","115,150,000",낙찰,"155,500,000",66.20%,2021-05-10,2021_2Q,3
전주 2계 2019-10236(16),근린상가,근린상가,근린상가,전북,전주시,전북 전주시 덕진구 송천동1가 626-75 주건축물 1동 4층 402호,"329,000,000","161,210,000",낙찰,"165,158,000",50.20%,2021-05-10,2021_2Q,3
전주 2계 2019-10236(17),근린상가,근린상가,근린상가,전북,전주시,전북 전주시 덕진구 송천동1가 626-75 주건축물 1동 4층 403호,"726,000,000","355,740,000",낙찰,"357,002,000",49.20%,2021-05-10,2021_2Q,3
전주 2계 2019-10236(18),근린상가,근린상가,근린상가,전북,전주시,전북 전주시 덕진구 송천동1가 626-75 주건축물 1동 4층 404호,"624,000,000","305,760,000",낙찰,"397,990,000",63.80%,2021-06-21,2021_2Q,3
전주 2계 2019-10328(1),임야,임야,임야,전북,완주군,전북 완주군 운주면 구제리 231,"1,043,250","358,000",낙찰,"500,000",47.90%,2021-06-21,2021_2Q,3
전주 4계 2019-10335,단독주택,단독,단독주택,전북,전주시,전북 전주시 완산구 평화동1가 590-9,"142,065,400","69,612,000",낙찰,"105,000,000",73.90%,2021-06-07,2021_2Q,3
전주 1계 2019-12539,아파트,아파트,아파트,전북,전주시,전북 전주시 완산구 동서학동 271-5 대산신천지 B동 5층 506호,"49,000,000","24,010,000",낙찰,"24,666,000",50.30%,2021-05-24,2021_2Q,3
전주 7계 2019-12546,아파트,아파트,아파트,전북,전주시,전북 전주시 덕진구 여의동2가 459-1 한강동산 7층 712호,"53,000,000","37,100,000",낙찰,"41,590,000",78.50%,2021-05-17,2021_2Q,3
전주 7계 2019-13204,연립,연립주택,연립·빌라,전북,완주군,"전북 완주군 상관면 죽림리 567-10 ,-5,-8,-25 편백숲드림빌리지 1동 3층 308호","157,000,000","76,930,000",낙찰,"102,000,000",65.00%,2021-06-28,2021_2Q,3
전주 6계 2019-34874,단독주택,단독,단독주택,전북,김제시,전북 김제시 금구면 오봉리 534,"49,639,000","49,639,000",낙찰,"52,000,000",104.80%,2021-06-14,2021_2Q,3
전주 4계 2019-37453,공장,공장(지식산업센터 업무시설),공장,전북,전주시,"전북 전주시 덕진구 여의동 551-4 ,-38","785,951,660","550,166,000",낙찰,"628,677,777",80.00%,2021-06-07,2021_2Q,3
전주 7계 2019-38623,연립,연립주택,연립·빌라,전북,전주시,전북 전주시 완산구 남노송동 63-3 영생주택 나동 1층 104호,"38,800,000","19,012,000",낙찰,"25,200,000",64.90%,2021-05-17,2021_2Q,3
전주 7계 2019-38890,임야,임야,임야,전북,무주군,전북 무주군 부남면 가당리 산195,"11,318,944","5,546,000",낙찰,"7,155,990",63.20%,2021-05-17,2021_2Q,3
전주 5계 2019-39404,임야,임야,임야,전북,진안군,전북 진안군 부귀면 궁항리 산15,"186,326,800","91,300,000",낙찰,"113,000,000",60.60%,2021-05-31,2021_2Q,3
전주 7계 2019-39442,전,전,전,전북,무주군,전북 무주군 무주읍 용포리 627,"27,843,200","13,643,000",낙찰,"15,000,000",53.90%,2021-06-28,2021_2Q,3
전주 6계 2020-1160(1),답,답,답,전북,임실군,전북 임실군 삼계면 세심리 983-1,"67,116,300","67,116,300",낙찰,"77,200,000",115.00%,2021-06-14,2021_2Q,3
