사건번호,용도,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일
제주 4계 1998-14322,단독주택,"제주 제주시 용담일동 2829-6 ,-10","221,518,860","108,544,240",낙찰(2/3),"143,500,000",64.8%,2001.02.19
제주 2계 1998-18423,임야,"제주 제주시 애월읍 고성리 829 ,848,850,861,863,863-2,864,871,-4,1007,1008,1015,1031-1,1032,산3,산4-3,866, 외2","12,209,182,750","5,982,499,540",취하(2/2),0,0%,2001.03.26
제주 3계 1998-24527,전,제주 서귀포시 표선면 토산리 646-1,"66,150,000","66,150,000",취하(0/1),0,0%,2001.02.26
제주 4계 1998-34104,전,제주 제주시 한림읍 한림리 793-3,"11,421,000","1,343,660",낙찰(6/7),"1,650,000",14.4%,2001.05.21
제주 2계 1998-34210,임야,제주 서귀포시 대정읍 무릉리 산65-11,"38,178,000","9,166,530",낙찰(4/5),"11,200,000",29.3%,2001.04.09
제주 4계 1998-37189(1),아파트,제주 제주시 도남동 47-10 도남일우아파트 101호,"41,000,000","20,090,000",낙찰(2/4),"26,100,000",63.7%,2001.03.26
제주 4계 1998-37189(2),아파트,제주 제주시 도남동 47-10 도남일 201호,"43,000,000","14,749,000",낙찰(3/4),"20,900,000",48.6%,2001.01.15
제주 4계 1998-37189,아파트,제주 제주시 도남동 47-10 도남일우 301호,"43,000,000","21,070,000",낙찰(2/4),"22,120,000",51.4%,2001.03.26
제주 4계 1998-37189,아파트,제주 제주시 도남동 47-10 도남일우4층501호,"43,000,000","14,749,000",낙찰(3/4),"21,100,000",49.1%,2001.01.15
제주 4계 1998-37189,아파트,제주 제주시 도남동 47-10 도남일우6층701호,"41,000,000","14,063,000",낙찰(3/4),"22,600,000",55.1%,2001.01.15
제주 4계 1999-535,근린상가,제주 제주시 노형동 1046-16,"2,437,681,000","1,706,376,700",낙찰(1/2),"1,710,000,000",70.1%,2001.03.26
제주 4계 1999-2337,공장,제주 제주시 한림읍 금능리 407-17,"474,778,000","39,099,990",미진(0/0),0,0%,2001.05.21
제주 4계 1999-2401,단독주택,제주 제주시 삼도일동 508-12,"129,016,000","90,311,200",낙찰(1/2),"116,000,000",89.9%,2001.06.25
제주 4계 1999-3961,전,제주 서귀포시 보목동 1609,"34,251,000","576,560",낙찰(5/11),"7,256,000",21.2%,2001.05.21
제주 1계 1999-5260,전,제주 제주시 한경면 두모리 1716,"14,234,000",0,유찰(5/5),0,0%,2001.02.12
제주 4계 1999-6182,대지,제주 제주시 연동 272-52,"512,430,000","251,090,700",낙찰(2/3),"330,010,000",64.4%,2001.04.23
제주 4계 1999-8249,단독주택,"제주 제주시 한림읍 상대리 737 ,3471-1,-4,3472-1,-3","221,954,400","76,130,350",낙찰(3/4),"76,200,000",34.3%,2001.02.19
제주 2계 1999-12422,전,제주 서귀포시 안덕면 동광리 1435,"22,056,000","22,056,000",낙찰(0/1),"23,155,000",105.0%,2001.03.12
제주 6계 1999-13555,다세대,제주 제주시 연동 291-52,"28,000,000","19,600,000",취소(1/1),0,0%,2001.01.08
제주 4계 1999-15339,공장,제주 서귀포시 대정읍 일과리 551-14,"757,146,550","181,790,880",낙찰(4/9),"183,420,000",24.2%,2001.02.19
제주 2계 1999-15773,아파트,"제주 서귀포시 중문동 1999-2 ,외1 민우중문 나동 101호","64,000,000","21,952,000",낙찰(3/4),"30,050,000",47.0%,2001.03.12
제주 2계 1999-16776,대지,제주 서귀포시 동홍동 1790-2,"21,300,000","3,579,890",낙찰(5/7),"3,580,000",16.8%,2001.03.12
제주 4계 1999-17250,기타부동산,제주 서귀포시 성산읍 수산리 2500-1,"61,036,000","42,725,200",낙찰(1/2),"44,000,000",72.1%,2001.03.26
제주 4계 1999-17328,단독주택,제주 제주시 한림읍 월림리 2230-3,"14,289,000","7,001,610",낙찰(2/3),"10,100,000",70.7%,2001.03.26
제주 4계 1999-17328,단독주택,제주 제주시 한림읍 월림리 314-4,"201,000","98,490",유찰(4/4),0,0%,2001.04.23
제주 4계 1999-17328,전,제주 제주시 한림읍 월림리 767,"35,132,000","35,132,000",낙찰(0/1),"51,110,000",145.5%,2001.01.15
제주 1계 1999-18857,전,제주 제주시 애월읍 하귀2리 2674,"90,819,100",0,취하(1/1),0,0%,2001.02.12
제주 4계 1999-19324,아파트상가,제주 제주시 일도동 392-8 삼오정진,"170,000,000","28,571,900",낙찰(5/6),"33,010,000",19.4%,2001.01.15
제주 4계 1999-19324,아파트,제주 제주시 일도동 392-8 삼오정진,"1,060,000,000","178,154,200",낙찰(5/6),"224,000,000",21.1%,2001.01.15
제주 6계 1999-19348,단독주택,제주 서귀포시 대정읍 동일리 1656,"80,820,150","39,601,870",낙찰(2/3),"45,150,000",55.9%,2001.01.08
제주 3계 1999-20133,근린상가,제주 제주시 삼도일동 108-17 중앙하이츠빌라상가 지하1층33호,"16,800,000","677,940",낙찰(9/11),"911,000",5.4%,2001.02.12
