사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
대전 5계 2016-14928(1),단독주택,단독,단독주택,충남,금산군,충남 금산군 추부면 마전리 574-9,"218,879,720","153,216,000",낙찰,"185,200,401",84.6%,2021-04-07,2021_2Q,3
대전 5계 2016-14928(2),임야,임야,임야,충남,금산군,충남 금산군 복수면 용진리 산5-10,"9,044,000","6,331,000",낙찰,"10,200,401",112.8%,2021-04-07,2021_2Q,3
대전 7계 2019-8566,임야,임야,임야,충남,금산군,충남 금산군 부리면 수통리 산56-1,"52,035,400","17,849,000",낙찰,"22,849,000",43.9%,2021-04-06,2021_2Q,3
대전 5계 2019-12169,임야,임야,임야,충남,금산군,충남 금산군 진산면 부암리 산36,"36,812,800","12,627,000",낙찰,"15,500,000",42.1%,2021-06-16,2021_2Q,3
대전 7계 2019-12411(4),공장,공장(지식산업센터 업무시설),공장,충남,금산군,충남 금산군 진산면 묵산리 149-1,"820,251,420","574,176,000",낙찰,"611,000,000",74.5%,2021-05-11,2021_2Q,3
대전 7계 2019-14226,축사,기타토지,기타토지,충남,금산군,충남 금산군 제원면 구억리 200-4 주1동,"303,624,000","148,776,000",낙찰,"156,000,000",51.4%,2021-04-06,2021_2Q,3
대전 7계 2019-14561,공장,공장(지식산업센터 업무시설),공장,충남,금산군,충남 금산군 제원면 수당리 383,"1,915,685,960","657,080,000",낙찰,"800,000,000",41.8%,2021-05-11,2021_2Q,3
대전 5계 2019-17348,답,답,답,충남,금산군,충남 금산군 부리면 선원리 187-3,"20,367,000","6,986,000",낙찰,"9,000,000",44.2%,2021-04-07,2021_2Q,3
대전 3계 2019-17836(3),창고용지,기타건물,창고,충남,금산군,충남 금산군 진산면 읍내리 707-5,"264,348,000","63,470,000",낙찰,"110,000,000",41.6%,2021-04-12,2021_2Q,3
대전 8계 2019-109957,점포,근린상가,점포상가,충남,금산군,충남 금산군 복수면 백암리 517-2,"101,400,020","70,980,000",낙찰,"96,330,000",95.0%,2021-06-14,2021_2Q,3
대전 7계 2019-111615,임야,임야,임야,충남,금산군,충남 금산군 진산면 읍내리 산55-1,"2,608,424,000","626,283,000",낙찰,"701,700,000",26.9%,2021-04-06,2021_2Q,3
대전 9계 2019-111790(1),전,전,전,충남,금산군,충남 금산군 금성면 의총리 365-18,"128,840,000","44,192,000",낙찰,"80,500,000",62.5%,2021-04-27,2021_2Q,3
대전 7계 2020-3369,답,답,답,충남,금산군,충남 금산군 남이면 성곡리 94,"40,491,500","13,889,000",낙찰,"17,890,000",44.2%,2021-05-11,2021_2Q,3
대전 4계 2020-3574,전,전,전,충남,금산군,충남 금산군 복수면 다복리 241-1,"294,954,900","70,819,000",낙찰,"90,100,000",30.5%,2021-05-04,2021_2Q,3
대전 3계 2020-4119,임야,임야,임야,충남,금산군,충남 금산군 군북면 천을리 110-2,"387,305,400","132,846,000",낙찰,"138,160,000",35.7%,2021-04-12,2021_2Q,3
대전 5계 2020-4485(1),답,답,답,충남,금산군,충남 금산군 군북면 산안리 431-1,"9,162,000","6,413,000",낙찰,"7,500,000",81.9%,2021-06-16,2021_2Q,3
대전 5계 2020-4485(2),답,답,답,충남,금산군,충남 금산군 군북면 산안리 695-1,"52,252,000","36,576,000",낙찰,"44,252,000",84.7%,2021-06-16,2021_2Q,3
대전 8계 2020-4706,전,전,전,충남,금산군,충남 금산군 복수면 곡남리 115,"86,100,000","29,532,000",낙찰,"29,533,000",34.3%,2021-04-05,2021_2Q,3
대전 9계 2020-5242,전,전,전,충남,금산군,충남 금산군 금성면 대암리 65-2,"42,734,000","14,658,000",낙찰,"15,100,000",35.3%,2021-06-01,2021_2Q,3
대전 9계 2020-5808,임야,임야,임야,충남,금산군,충남 금산군 진산면 지방리 645-1,"110,253,000","54,024,000",낙찰,"65,000,000",59.0%,2021-04-27,2021_2Q,3
대전 5계 2020-5938,임야,임야,임야,충남,금산군,충남 금산군 제원면 명곡리 157-2,"1,548,508,000","531,138,000",낙찰,"658,200,000",42.5%,2021-06-16,2021_2Q,3
대전 7계 2020-6214(2),답,답,답,충남,금산군,충남 금산군 추부면 마전리 19-3,"5,148,000","2,523,000",낙찰,"2,600,000",50.5%,2021-05-11,2021_2Q,3
대전 6계 2020-6771,답,답,답,충남,금산군,충남 금산군 군북면 외부리 218-2,"142,800,000","69,972,000",낙찰,"85,777,700",60.1%,2021-04-28,2021_2Q,3
대전 1계 2020-7606,답,답,답,충남,금산군,충남 금산군 금성면 화림리 176,"61,344,000","21,041,000",낙찰,"31,500,000",51.3%,2021-06-07,2021_2Q,3
대전 4계 2020-8074,숙박시설,숙박시설,숙박시설,충남,금산군,"충남 금산군 복수면 구례리 167-4 ,168-1,-4","643,287,360","315,211,000",낙찰,"411,111,110",63.9%,2021-06-08,2021_2Q,3
대전 6계 2020-8210,답,답,답,충남,금산군,충남 금산군 부리면 예미리 298-6,"103,751,000","50,838,000",낙찰,"74,411,100",71.7%,2021-06-02,2021_2Q,3
대전 1계 2020-9077(2),임야,임야,임야,충남,금산군,충남 금산군 군북면 두두리 산99,"5,170,000","2,533,000",낙찰,"2,533,100",49.0%,2021-06-07,2021_2Q,3
대전 8계 2020-9848,임야,임야,임야,충남,금산군,충남 금산군 금산읍 아인리 산47,"74,036,000","36,278,000",낙찰,"36,970,000",49.9%,2021-05-10,2021_2Q,3
대전 1계 2020-9862,전,전,전,충남,금산군,충남 금산군 진산면 묵산리 338-1,"21,469,500","15,029,000",낙찰,"15,500,000",72.2%,2021-06-07,2021_2Q,3
대전 3계 2020-10657,단독주택,단독,단독주택,충남,금산군,"충남 금산군 제원면 천내리 111-51 ,111-60","202,565,000","141,796,000",낙찰,"183,700,000",90.7%,2021-04-12,2021_2Q,3
대전 8계 2020-10978(1),아파트,아파트,아파트,충남,금산군,"충남 금산군 추부면 마전리 712-8 ,715-7 나이스타운 101동 2층 206호","41,000,000","20,090,000",낙찰,"26,630,000",65.0%,2021-06-14,2021_2Q,3
대전 8계 2020-10978(2),아파트,아파트,아파트,충남,금산군,"충남 금산군 추부면 마전리 712-8 ,715-7 나이스타운 101동 3층 305호","41,000,000","20,090,000",낙찰,"26,630,000",65.0%,2021-06-14,2021_2Q,3
대전 8계 2020-10978(3),아파트,아파트,아파트,충남,금산군,"충남 금산군 추부면 마전리 712-8 ,715-7 나이스타운 101동 4층 405호","42,000,000","20,580,000",낙찰,"27,280,000",65.0%,2021-06-14,2021_2Q,3
대전 8계 2020-10978(4),아파트,아파트,아파트,충남,금산군,"충남 금산군 추부면 마전리 712-8 ,715-7 나이스타운 101동 5층 507호","42,000,000","20,580,000",낙찰,"27,280,000",65.0%,2021-06-14,2021_2Q,3
대전 8계 2020-10978(5),아파트,아파트,아파트,충남,금산군,"충남 금산군 추부면 마전리 712-8 ,715-7 나이스타운 101동 5층 524호","61,000,000","29,890,000",낙찰,"39,620,000",65.0%,2021-06-14,2021_2Q,3
대전 8계 2020-10978(6),아파트,아파트,아파트,충남,금산군,"충남 금산군 추부면 마전리 712-8 ,715-7 나이스타운 101동 9층 905호","42,000,000","20,580,000",낙찰,"27,280,000",65.0%,2021-06-14,2021_2Q,3
대전 8계 2020-10978(7),아파트,아파트,아파트,충남,금산군,"충남 금산군 추부면 마전리 712-8 ,715-7 나이스타운 101동 10층 1008호","42,000,000","20,580,000",낙찰,"27,280,000",65.0%,2021-06-14,2021_2Q,3
대전 3계 2020-11162,임야,임야,임야,충남,금산군,충남 금산군 금성면 화림리 682-9,"76,585,100","53,610,000",낙찰,"71,600,000",93.5%,2021-04-12,2021_2Q,3
대전 1계 2020-11254,전,전,전,충남,금산군,충남 금산군 제원면 저곡리 258-1,"35,144,000","24,601,000",낙찰,"30,500,000",86.8%,2021-05-03,2021_2Q,3
대전 5계 2020-11995(1),답,답,답,충남,금산군,충남 금산군 추부면 서대리 616,"166,176,000","166,176,000",낙찰,"168,880,000",101.6%,2021-05-12,2021_2Q,3
대전 5계 2020-11995(2),답,답,답,충남,금산군,충남 금산군 추부면 성당리 12,"15,880,000","15,880,000",낙찰,"16,780,000",105.7%,2021-05-12,2021_2Q,3
대전 7계 2020-100192,근린상가,근린상가,근린상가,충남,금산군,"충남 금산군 금산읍 아인리 369-6 ,368-3,369-4","1,162,333,720","398,681,000",낙찰,"460,000,000",39.6%,2021-05-11,2021_2Q,3
대전 1계 2020-102037(1),전,전,전,충남,금산군,충남 금산군 진산면 지방리 196-1,"15,820,000","15,820,000",낙찰,"15,820,000",100.0%,2021-05-03,2021_2Q,3
대전 1계 2020-102037(2),임야,임야,임야,충남,금산군,충남 금산군 진산면 지방리 190-3,"41,224,800","28,857,000",낙찰,"29,155,000",70.7%,2021-06-07,2021_2Q,3
대전 3계 2020-105197(2),답,답,답,충남,금산군,충남 금산군 부리면 신촌리 340-7,"65,587,200","45,911,000",낙찰,"62,500,000",95.3%,2021-06-21,2021_2Q,3
대전 7계 2020-106442,임야,임야,임야,충남,금산군,충남 금산군 추부면 마전리 683-58,"113,074,000","55,406,000",낙찰,"72,999,003",64.6%,2021-05-11,2021_2Q,3
대전 3계 2020-107315,임야,임야,임야,충남,금산군,충남 금산군 군북면 두두리 산59-24,"19,734,000","19,734,000",낙찰,"20,000,000",101.3%,2021-05-17,2021_2Q,3
대전 6계 2020-108202,임야,임야,임야,충남,금산군,충남 금산군 군북면 동편리 산55-6,"10,908,700","10,908,700",낙찰,"11,000,000",100.8%,2021-06-02,2021_2Q,3
대전 7계 2020-109373(2),임야,임야,임야,충남,금산군,충남 금산군 금산읍 신대리 산25-1,"81,966,000","40,163,000",낙찰,"40,200,000",49.0%,2021-06-15,2021_2Q,3
대전 3계 2020-109434,임야,임야,임야,충남,금산군,충남 금산군 남일면 신천리 595-1,"82,416,700","57,692,000",낙찰,"61,027,770",74.0%,2021-05-17,2021_2Q,3
대전 7계 2020-111352,전,전,전,충남,금산군,충남 금산군 복수면 수영리 28-3,"81,312,000","56,918,000",낙찰,"57,000,000",70.1%,2021-06-15,2021_2Q,3
대전 4계 2021-100243,연립,연립주택,연립·빌라,충남,금산군,충남 금산군 금산읍 상리 19-7 LG빌리지 4층 404호,"110,000,000","77,000,000",낙찰,"88,960,000",80.9%,2021-06-08,2021_2Q,3
천안 1계 2017-13846(1),주상복합(상가),기타토지,기타토지,충남,천안시,"충남 천안시 서북구 백석동 868 ,869 천안베스트빌2차 1층 101호","456,000,000","53,648,000",낙찰,"84,990,000",18.6%,2021-04-27,2021_2Q,3
천안 1계 2017-13846(3),주상복합(상가),기타토지,기타토지,충남,천안시,"충남 천안시 서북구 백석동 868 ,869 천안베스트빌2차 2층 204호","363,000,000","42,706,000",낙찰,"55,070,000",15.2%,2021-04-27,2021_2Q,3
천안 1계 2017-13846(24),주상복합(상가),기타토지,기타토지,충남,천안시,충남 천안시 서북구 백석동 870 천안베스트빌3차 1층 104호,"395,000,000","46,472,000",낙찰,"74,990,000",19.0%,2021-04-27,2021_2Q,3
천안 5계 2018-4580(1),아파트,아파트,아파트,충남,천안시,충남 천안시 서북구 직산읍 모시리 253-38 동보영구임대 102동 1층 101호,"27,900,000","9,570,000",낙찰,"10,100,000",36.2%,2021-05-12,2021_2Q,3
천안 5계 2018-4580(6),아파트,아파트,아파트,충남,천안시,충남 천안시 서북구 직산읍 모시리 253-38 동보영구임대 102동 1층 111호,"28,200,000","9,673,000",낙찰,"10,059,000",35.7%,2021-05-12,2021_2Q,3
천안 5계 2018-4580(8),아파트,아파트,아파트,충남,천안시,충남 천안시 서북구 직산읍 모시리 253-38 동보영구임대 102동 1층 113호,"28,200,000","9,673,000",낙찰,"10,059,000",35.7%,2021-05-12,2021_2Q,3
천안 5계 2018-4580(106),아파트,아파트,아파트,충남,천안시,충남 천안시 서북구 직산읍 모시리 253-38 동보영구임대 102동 7층 704호,"29,600,000","10,153,000",낙찰,"13,100,000",44.3%,2021-05-12,2021_2Q,3
천안 5계 2018-4580(110),아파트,아파트,아파트,충남,천안시,충남 천안시 서북구 직산읍 모시리 253-38 동보영구임대 102동 7층 714호,"29,600,000","10,153,000",낙찰,"13,100,000",44.3%,2021-05-12,2021_2Q,3
천안 5계 2018-4580(122),아파트,아파트,아파트,충남,천안시,충남 천안시 서북구 직산읍 모시리 253-38 동보영구임대 102동 8층 806호,"29,600,000","10,153,000",낙찰,"10,710,000",36.2%,2021-06-16,2021_2Q,3
천안 5계 2018-4580(146),아파트,아파트,아파트,충남,천안시,충남 천안시 서북구 직산읍 모시리 253-38 동보영구임대 102동 9층 916호,"29,600,000","10,153,000",낙찰,"12,059,000",40.7%,2021-05-12,2021_2Q,3
