사건번호,용도,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일
청주 7계 1996-20935,임야,충북 괴산군 칠성면 율지리 산11-5,"113,285,200","113,285,200",취소(5/5),0,0%,2001.06.27
청주 4계 1997-27797(2),전,충북 청주시 청원구 내수읍 구성리 19-1,"61,680,000","43,176,000",낙찰(1/2),"50,250,000",81.5%,2001.05.10
청주 2계 1998-39520,단독주택,충북 청주시 흥덕구 복대동 1532,"256,800,000","125,824,356",낙찰(4/5),0,0%,2001.05.17
청주 1계 1998-43918,대지,충북 청주시 상당구 서문동 147-12,"41,601,000","16,307,592",각하(3/3),0,0%,2001.04.30
청주 1계 1998-43918,대지,충북 청주시 상당구 서문동 147-31,"593,368,200","148,864,214",취하(4/5),0,0%,2001.05.08
청주 1계 1998-43918,대지,충북 청주시 상당구 서문동 141-10,"5,418,000","5,418,000",각하(0/0),0,0%,2001.04.30
청주 1계 1998-43918,대지,충북 청주시 상당구 서문동 147-17,"9,090,000","1,167,615",취하(6/6),0,0%,2001.05.08
청주 5계 1999-2044,아파트,충북 청주시 상당구 탑동 1 외1,"45,000,000","4,624,000",낙찰(9/14),"5,000,000",11.1%,2001.03.20
청주 7계 1999-2426,다세대,충북 진천군 문백면 문덕리 37-1,"48,000,000","2,526,000",낙찰(12/14),"2,530,000",5.3%,2001.01.09
청주 5계 1999-5937,답,충북 진천군 진천읍 교성리 555,"1,800,000",0,낙찰(9/15),"200,000",11.1%,2001.03.20
청주 4계 1999-16494,대지,충북 청주시 흥덕구 봉명동 7-1,"250,240,000","122,617,600",낙찰(2/3),"140,250,000",56.0%,2001.01.18
청주 5계 1999-22505,단독주택,충북 증평군 증평읍 증평리 979-47,"23,830,000","7,473,100",각하(5/5),0,0%,2001.01.10
청주 1계 1999-24310,임야,충북 괴산군 청천면 관평리 375,"2,016,000","323,695",분할(7/9),0,0%,2001.04.03
청주 1계 1999-24310,임야,충북 괴산군 청천면 관평리 산12,"41,643,000","5,349,065",낙찰(8/11),"6,657,000",16.0%,2001.05.08
청주 1계 1999-24310,전,충북 괴산군 청천면 관평리 393-2,"25,494,000","3,274,717",낙찰(8/11),"3,860,000",15.1%,2001.05.08
청주 1계 1999-24310,전,충북 괴산군 청천면 관평리 394,"95,799,000","15,381,792",낙찰(7/9),"16,000,000",16.7%,2001.01.22
청주 1계 1999-24310,전,충북 괴산군 청천면 관평리 371,"71,505,000","34,692,940",낙찰(6/9),"40,150,000",56.1%,2001.04.03
청주 1계 1999-24310,전,충북 괴산군 청천면 관평리 372,"22,554,000","5,658,347",낙찰(6/9),"5,712,000",25.3%,2001.04.03
청주 1계 1999-24310,답,충북 괴산군 청천면 관평리 368,"67,137,000","16,843,330",낙찰(6/9),"17,500,000",26.1%,2001.04.03
청주 4계 1999-25849,아파트상가,충북 청주시 서원구 수곡동 1002,"240,000,000","75,264,000",낙찰(4/5),"77,560,000",32.3%,2001.01.18
청주 3계 1999-26071,공장,충북 진천군 이월면 삼용리 581-2,"399,627,000","100,258,421",낙찰(8/9),"133,700,000",33.5%,2001.01.11
청주 6계 1999-26668,아파트,충북 청주시 서원구 모충동 452 주공 105동 507호,"25,000,000","12,250,000",낙찰(2/3),"15,890,000",63.6%,2001.03.27
청주 1계 1999-27319,공장,충북 청주시 상당구 미원면 중리 22-4,"1,531,183,680","307,314,689",낙찰(6/7),"383,000,000",25.0%,2001.05.08
청주 6계 1999-28862,단독주택,충북 청주시 서원구 수곡동 82-26,"69,535,680","34,072,483",낙찰(2/3),"40,000,000",57.5%,2001.03.27
청주 2계 1999-29278,대지,충북 청주시 청원구 내덕동 227-8,"422,845,000","106,083,353",낙찰(7/8),"133,899,000",31.7%,2001.04.12
청주 1계 1999-30100,전,충북 괴산군 칠성면 율지리 36,"4,722,000","617,008",유찰(7/9),0,0%,2001.02.27
청주 3계 1999-31639,단독주택,충북 청주시 서원구 사직동 547-9,"182,105,400","23,391,539",낙찰(8/10),"23,500,000",12.9%,2001.02.15
청주 7계 1999-32793,근린주택,충북 청주시 흥덕구 강내면 탑연리 275-57,"180,000,000","70,560,000",낙찰(5/7),"80,380,000",44.7%,2001.01.09
청주 5계 1999-33598,연립,충북 청주시 상당구 용암동 429-2,"119,000,000","58,310,000",낙찰(2/3),"72,120,000",60.6%,2001.02.08
청주 4계 1999-33741,잡종지,충북 보은군 보은읍 금굴리 434,"630,849,000","247,292,808",낙찰(5/6),"302,020,000",47.9%,2001.02.22
청주 1계 1999-35419,대지,충북 괴산군 문광면 광덕리 225,"15,480,000","4,854,528",낙찰(4/6),"4,911,000",31.7%,2001.06.14
청주 4계 1999-35440,전,충북 괴산군 괴산읍 사창리 52-3,"10,437,000","3,272,800",낙찰(3/6),"4,100,000",39.3%,2001.01.18
청주 2계 1999-36320,아파트상가,충북 청주시 서원구 분평동 1360-2,"250,000,000","122,500,000",낙찰(5/7),"140,500,000",56.2%,2001.01.30
청주 4계 1999-36405,아파트,충북 청주시 상당구 금천동 199-1 외 현대 5동 503호,"92,000,000","45,080,000",낙찰(4/6),"62,370,000",67.8%,2001.01.18
청주 6계 1999-37163,임야,충북 청주시 흥덕구 비하동 320-3,"62,040,000","15,564,595",낙찰(5/6),"16,500,000",26.6%,2001.01.16
청주 4계 1999-37408,아파트,충북 청주시 서원구 분평동 1386 분평주공 707동 1404호,"85,000,000","59,500,000",낙찰(2/4),"74,180,000",87.3%,2001.02.22
청주 4계 1999-37408,아파트,충북 청주시 흥덕구 가경동 766 형석2차 2동 205호,"75,000,000","52,500,000",낙찰(1/2),"64,970,000",86.6%,2001.02.22
청주 3계 1999-37538,대지,충북 청주시 상당구 용담동 209-12,"24,650,000","4,947,353",낙찰(6/7),"5,550,000",22.5%,2001.02.15
청주 6계 1999-38562,단독주택,충북 청주시 청원구 내덕동 301-3,"86,849,325","55,583,568",낙찰(4/6),"62,000,000",71.4%,2001.02.20
청주 2계 1999-38920,전,충북 청주시 흥덕구 옥산면 오산리 697-3,"21,150,000","5,306,112",취하(5/5),0,0%,2001.02.08
청주 4계 1999-39046,근린상가,충북 청주시 상당구 금천동 97-6,"303,543,120","148,736,128",낙찰(4/6),"181,110,000",59.7%,2001.02.22
청주 7계 1999-39473,전,충북 진천군 이월면 송림리 663,"25,370,000","4,074,000",낙찰(7/9),"6,100,000",24.0%,2001.02.13
청주 2계 1999-40473,아파트,충북 진천군 진천읍 교성리 243-4,"47,000,000","23,030,000",대납(2/3),0,0%,2001.03.06
청주 2계 1999-40473(2),대지,충북 보은군 회인면 용촌리 59-1,"47,261,000","18,527,000",취하(3/6),0,0%,2001.06.26
청주 3계 1999-40572,공장,충북 청주시 상당구 미원면 수산리 241-2,"175,140,000","85,810,600",낙찰(4/5),"127,000,000",72.5%,2001.02.15
청주 2계 1999-40978,전,충북 괴산군 사리면 수암리 156,"237,600","59,508",낙찰(5/7),"61,110",25.7%,2001.03.06
청주 3계 1999-41070,아파트,충북 청주시 서원구 개신동 11 외2필지 삼익2차 202동 106호,"68,000,000","13,647,872",낙찰(6/8),"14,160,000",20.8%,2001.02.15
청주 1계 1999-41773,전,충북 괴산군 청천면 송면리 246-11,"16,524,000","3,316,432",낙찰(6/8),"4,168,000",25.2%,2001.05.08
청주 1계 1999-41773,전,충북 괴산군 청천면 송면리 246-14,"9,966,000","2,000,216",낙찰(6/8),"4,150,000",41.6%,2001.05.08
청주 1계 1999-41773,전,충북 괴산군 청천면 송면리 246-15,"27,369,000","5,493,067",낙찰(6/8),"5,600,000",20.5%,2001.05.08
청주 3계 1999-41872,아파트,충북 청주시 서원구 모충동 342 외 청송 504호,"50,000,000","19,600,000",각하(4/4),0,0%,2001.01.03
청주 7계 1999-41889,아파트상가,"충북 청주시 서원구 분평동 320 ,320-2","64,000,000","10,276,000",낙찰(7/8),"13,380,000",20.9%,2001.01.09
청주 4계 1999-42240,임야,충북 청주시 상당구 문의면 염티리 10-3,"4,488,000","3,141,600",낙찰(1/3),"4,186,000",93.3%,2001.02.22
청주 4계 1999-42363,전,충북 진천군 진천읍 교성리 301-5,"12,980,000","6,360,200",낙찰(1/2),"7,000,000",53.9%,2001.03.27
청주 4계 1999-42363,전,충북 진천군 진천읍 교성리 302-1,"24,102,000","11,809,980",낙찰(2/4),"16,550,000",68.7%,2001.03.27
청주 4계 1999-42363,전,충북 진천군 진천읍 교성리 309-2,"18,117,000","8,877,330",낙찰(2/4),"9,500,000",52.4%,2001.03.27
청주 7계 1999-42585,아파트상가,충북 청주시 서원구 수곡동 349,"15,000,000","7,350,000",취소(2/2),0,0%,2001.03.23
청주 7계 1999-42684,단독주택,충북 청주시 청원구 내덕동 115-117,"104,000,000","40,768,000",낙찰(3/5),"52,890,000",50.9%,2001.01.09
청주 1계 1999-42813,단독주택,충북 진천군 진천읍 교성리 287-2,"47,392,500","14,862,288",낙찰(4/5),"15,750,000",33.2%,2001.01.22
청주 1계 1999-42912,근린상가,충북 청주시 상당구 북문로2가 113-19,"3,135,171,160",0,취하(4/4),0,0%,2001.02.27
청주 3계 1999-43038,단독주택,충북 청주시 흥덕구 복대동 1818,"200,333,600","62,824,616",낙찰(4/5),"67,320,000",33.6%,2001.01.11
청주 3계 1999-43571,아파트상가,충북 청주시 상당구 금천동 199-1 외,"35,000,000","5,619,712",낙찰(7/9),"7,300,000",20.9%,2001.05.31
청주 5계 1999-43878,대지,충북 청주시 청원구 우암동 111-23,"839,800,000","522,065,600",낙찰(3/4),"585,200,000",69.7%,2001.06.14
청주 1계 1999-43977,차량,충북 충주시 수안보면 온천리 121-2,"16,000,000","7,840,000",낙찰(2/4),"8,300,000",51.9%,2001.01.22
청주 6계 1999-44666,대지,충북 청주시 청원구 오창읍 후기리 191-2,"2,160,500","1,058,645",낙찰(2/3),"1,660,000",76.8%,2001.01.16
청주 6계 1999-44666,대지,충북 청주시 청원구 오창읍 후기리 190,"9,062,500","4,440,625",낙찰(2/3),"5,600,000",61.8%,2001.01.16
청주 3계 1999-44833,단독주택,충북 진천군 덕산읍 석장리 236-1,"16,369,460","4,106,770",낙찰(5/7),"4,329,000",26.4%,2001.02.15
청주 3계 2000-174,아파트,충북 청주시 서원구 수곡동 43-3 삼일 가동 2호,"43,000,000","30,100,000",낙찰(1/2),"30,315,000",70.5%,2001.02.15
청주 3계 2000-334,근린상가,충북 청주시 상당구 남문로1가 63-2,"1,052,740,630","330,139,460",낙찰(4/5),"431,200,000",41.0%,2001.01.11
청주 1계 2000-419,임야,충북 청주시 상당구 미원면 중리 22,"693,906,000","139,269,709",낙찰(6/7),"161,200,000",23.2%,2001.02.27
청주 6계 2000-600,아파트,충북 청주시 상당구 영운동 212-5 한일 406호,"42,000,000","16,464,000",취하(4/4),0,0%,2001.04.18
청주 1계 2000-679,다세대,충북 청주시 상당구 영운동 140-18,"23,000,000","9,016,000",낙찰(2/3),"12,110,000",52.7%,2001.02.08
청주 5계 2000-778,다세대,충북 청주시 청원구 오창읍 창리 52,"15,000,000","3,011,000",낙찰(6/8),"5,720,000",38.1%,2001.03.20
