지역,대분류,용도,LTV,3M_평균낙찰율,6M_평균낙찰율,12M_평균낙찰율,3M_LTV격차10%이상,6M_LTV격차10%이상,12M_LTV격차10%이상,3M_LTV격차5%이상_10%미만,6M_LTV격차5%이상_10%미만,12M_LTV격차5%이상_10%미만,6M_모수,6M_모수조건충족,데드크로스,최근3M_MA,최근6M_MA,최근12M_MA
광주,주택,단독주택,75,56.0,66.0,64.46,True,False,True,False,True,False,25,True,False,56.65,64.24,63.59
광주,주택,다가구,60,-,35.8,85.1,False,True,True,False,False,False,1,False,False,35.8,35.8,68.45
광주,주택,아파트,80,78.74,79.6,79.74,False,False,False,False,False,False,300,True,True,75.07,78.06,79.17
광주,주택,연립,70,62.08,60.07,63.27,False,False,False,True,True,True,14,True,True,51.89,54.53,59.58
광주,주택,다세대,60,75.5,57.65,56.96,True,False,False,False,False,False,6,True,False,75.5,56.34,59.75
광주,주택,근린주택,65,59.15,58.17,60.1,False,False,False,True,True,False,3,False,False,58.17,58.17,72.8
광주,건물,근린상가,60,49.97,47.24,48.96,True,True,True,False,False,False,50,True,False,52.59,48.34,49.14
광주,건물,공장,75,98.13,100.01,94.17,True,True,True,False,False,False,10,True,False,100.03,99.17,94.27
광주,건물,아파트상가,55,48.36,47.68,49.01,False,False,False,True,True,True,11,True,False,50.43,51.65,49.69
광주,건물,오피스텔,65,64.96,64.5,62.86,False,False,False,False,False,False,51,True,False,57.12,62.95,60.3
광주,건물,의료시설,50,24.08,24.08,24.08,True,True,True,False,False,False,11,True,False,29.4,29.4,29.4
광주,건물,숙박시설,50,38.75,49.03,49.44,True,False,False,False,False,False,6,True,True,37.92,46.19,47.05
광주,토지,대지,75,55.53,55.32,55.28,True,True,True,False,False,False,20,True,False,63.39,57.56,57.59
광주,토지,전,60,61.3,56.67,56.03,False,False,False,False,False,False,10,True,False,60.06,51.3,50.35
광주,토지,답,75,53.88,56.49,60.14,True,True,True,False,False,False,19,True,True,49.0,51.65,60.39
광주,토지,임야,65,52.8,50.18,52.79,True,True,True,False,False,False,13,True,False,52.15,46.73,54.11
서울,주택,단독주택,75,71.16,69.26,71.12,False,False,False,False,True,False,87,True,True,66.62,68.11,69.94
서울,주택,다가구,75,68.3,68.7,71.36,False,False,False,True,True,False,28,True,False,71.18,69.29,70.88
서울,주택,아파트,80,93.47,90.86,91.37,True,True,True,False,False,False,487,True,False,93.41,91.27,91.68
서울,주택,연립,80,78.83,77.19,81.53,False,False,False,False,False,False,44,True,True,75.69,78.34,81.04
서울,주택,다세대,80,73.92,76.54,78.59,False,False,False,True,False,False,2212,True,True,73.0,76.03,78.59
서울,주택,근린주택,80,76.09,75.31,77.01,False,False,False,False,False,False,90,True,False,76.2,75.66,77.38
서울,건물,근린상가,60,64.41,62.51,61.8,False,False,False,False,False,False,179,True,False,64.88,62.59,62.52
서울,건물,공장,75,-,-,100.0,False,False,True,False,False,False,0,False,False,100.0,100.0,100.0
서울,건물,아파트상가,60,61.35,65.43,63.28,False,False,False,False,True,False,9,True,True,56.68,62.31,62.56
서울,건물,오피스텔,75,74.83,78.04,79.91,False,False,False,False,False,False,899,True,True,71.62,75.87,78.7
서울,건물,의료시설,60,-,-,-,False,False,False,False,False,False,0,False,False,-,-,-
서울,건물,숙박시설,75,75.27,79.08,81.93,False,False,False,False,False,True,4,False,False,77.95,81.34,80.78
서울,토지,대지,60,64.57,72.14,69.97,False,True,False,False,False,True,53,True,False,64.27,66.95,66.51
서울,토지,전,75,43.2,49.92,47.67,True,True,True,False,False,False,4,False,False,32.9,49.92,47.67
서울,토지,답,70,53.6,53.6,72.6,True,True,False,False,False,False,3,False,False,53.6,53.6,70.82
서울,토지,임야,50,63.25,43.18,48.96,True,False,False,False,True,False,6,False,False,55.82,36.95,45.28
